Unnamed: 0,DE,EN,TRANSLATION,BLEU_Score,avg
0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...",Your greed will still be your death.,4.7008628053132705e-232,0.18881730579723205
1,Sagen Sie einfach stopp.,Just say when.,Just tell them to stop.,1.2183324802375697e-231,0.18881730579723205
2,- Warte.,- Wait.,- Wait.,1.491668146240062e-154,0.18881730579723205
3,Ich will nicht hier sein.,I don't wanna be here.,I don't want to be here.,6.313993041533344e-78,0.18881730579723205
4,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.",90% of my photographic work is not actually photographic at all.,3.6060639741223444e-78,0.18881730579723205
5,Wie bezaubernd.,So lovely.,How enchanting.,0.0,0.18881730579723205
6,Muss ich?,Do I have to?,Should I?,8.451929273732148e-232,0.18881730579723205
7,Nehmen Sie Platz.,Please sit.,Take a seat.,0.0,0.18881730579723205
8,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","No, honestly, I think you should find out what's going on with your dad.",0.8196501312471536,0.18881730579723205
9,Wie halten Sie sich?,How you holding up?,How do you feel?,1.6034157163765524e-231,0.18881730579723205
10,- Fangen wir an.,- Let's go.,- Let's get started.,6.86809206056511e-78,0.18881730579723205
11,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Can I really stand up, Mr. Cohen?",1.3519605352440902e-231,0.18881730579723205
12,- Was machst du damit?,- What will you do with it?,- What do you do with it?,0.5946035575013605,0.18881730579723205
13,- Können wir reden?,- Can we talk?,- Can we talk?,1.0,0.18881730579723205
14,Runter!,Get down!,Go down!,1.5319719891192393e-231,0.18881730579723205
15,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,And if it was just a disruption because Pamela Raker is a Republican?,5.649668284632948e-78,0.18881730579723205
