EN,UK
,
Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you..."
Sagen Sie einfach stopp.,Just say when.
- Warte.,- Wait.
Ich will nicht hier sein.,I don't wanna be here.
"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic."
Wie bezaubernd.,So lovely.
Muss ich?,Do I have to?
Nehmen Sie Platz.,Please sit.
"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad."
Wie halten Sie sich?,How you holding up?
- Fangen wir an.,- Let's go.
"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?"
- Was machst du damit?,- What will you do with it?
- Können wir reden?,- Can we talk?
Runter!,Get down!
"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?
- Gern.,- Sure.
in Erwägung nachstehenden Grundes:,Whereas:
Wir haben ferngesehen.,We were watching the tv.
Na schön.,Oh.
Lebt wohl.,Goodbye.
Werte,Values
Oder was meinst du?,What do you say Marylin?
"Eins, zwei, eins, zwei.","Slow, slow, quick, quick."
"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days)."
Tagungswoche,The Week
Deine Zeit wird kommen.,Your time will come.
Eine große Geste. - Worum geht es dir?,What rules the life you lead?
"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?
Keine Bewegung.,-hold it! hold it! -Jesus.
"Ja, natürlich.","Yes, sir. I'm very sorry."
Die Autoschlüssel.,Give me your car keys.
Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.
"Pumbaa, du bist 'n Schwein.","Pumbaa, you are a pig."
Übrigens:,Extra tip:
Heiß!,Hot!
Aber jetzt nicht mehr.,But not any more
- Das stimmt.,- That's true.
"Pink für dich, Blau für Luke.","Pink for you, blue for Luke."
- Ganz ruhig bleiben.,That's right.
"Weißt du, wer Remy Danton ist?",Do you know who Remy Danton is?
Ich möchte jetzt gehen.,I want to go.
- Sicher.,Sure.
Ich darf mich für eure Geduld bedanken.,Thank you for your patience.
"Bob, Sie haben da was am Anzug.","Yeah. Bob, you got something on your suit."
Sieht gut aus.,Looks good.
- Sid.,- Sid.
- Ein Bündnis mit wem?,- Klaus.
- Hast du das gesehen? - Was?,- Did you see that?
Mindestens 90 %; sekundäre Komponenten 4-6 % Geraniol und 1-2 % Nerol,At least 90 %; secondary components 4-6 % geraniol and 1-2 % nerol
Wir fahren.,We're leaving.
Drücken!,Push! Push!
Geht schon.,You'll do.
Wissen Sie Bescheid über Manfredi und den Pakt?,Do you know about Manfredi and the covenant...?
Länge des GGB,Length of SCI
- Ja. Genau so.,Something like that.
"Nein, das ist unmöglich.",It's just not possible.
"Sei willkommen, Bruder.","Welcome, brother."
Wer sind diese Männer?,who are those men?
Hört zu...,Listen!
So. Ihr müsst den Rhythmus finden.,You guys got to get a rhythm going.
Artikel 14 und möglichst,Article 14
Durst!,Durst!
Weiter!,Okay.
Erweitert,Toggle Present Windows (Current desktop)
Legen Sie die Endzeit fest.@option:check,Set the end time
"Oh, Sie armes Ding.","Oh, you poor thing."
"Sie würden herausfinden wollen: ,Bin ich allein?""","You're attempting to find, ""Am I alone?"""
"Ich habe keinen Hunger, Dad.","God, Dad. I'm not hungry."
"Schaden entsteht vor allem dann, wenn in der Türkei Hoffnungen auf einen Beitritt erweckt wurden, diese angesichts der politischen Lage aber nicht erfüllt werden können.",It will have done more harm if Turkey's expectations of accession have been raised and cannot be met because of the political situation.
Ich meine es ernst!,I'm serious.
Du hast angefangen.,You are there begun.
Zur subkutanen Anwendung,Subcutaneous use
(Lois) Es geht mir gut. - Was tun Sie hier?,- So he's alive?
"Er sagte, er kennt die Leute, die damit zu tun hatten.","Well, he said that he knew the people that were involved."
Zum Anfang,Home
Du bist doch verrückt!,You're insane!
"Der Rat vertritt bezüglich des Westsaharakonflikts die allgemeine politische Linie der uneingeschränkten Unterstützung der UN und des Sonderbeauftragten des UN-Generalsekretärs, James Baker, in seinem Bestreben, eine Lösung des Konfliktes herbeizuführen.",The general political stance of the Council with regard to the conflict in Western Sahara is to fully support the United Nations and the UN Secretary General' s personal envoy James Baker in their work on finding a solution to the conflict.
Was zum Teufel hab ich hier vor mir?,What the hell am I looking at?
Seht ihr?,"- The museum's only interested in the collection... if you're in it, Woody."
Geh nach Hause!,Home!
"Wie sehend und hörend werden sie sein, wenn sie zu Uns kommen! Doch die Unrecht- Begehenden sind heute im offenkundigen Irrtum.","How keenly would they hear and see when they come before Us then, even though today the evil-doers are lost in palpable error."
Hören Sie auf.,Stop it!
Das versprech ich dir.,I promise you that.
Wie lautet er?,What is it?
Gothisch,Gothic
"Hier geht es nicht um eine Zombie- Mahlzeit, das ist Organdiebstahl.",This isn't zombie lunch. This is organ theft.
"Wenn das Gebet beendet ist, dann breitet euch im Land aus und strebt nach etwas von der Huld Gottes. Und gedenkt Gottes viel, auf daß es euch wohl ergehe.","But when the prayer is ended, then disperse abroad in the land and seek of Allah's grace, and remember Allah much, that you may be successful."
Haltet den Dieb!,Thief! Thief!
"ABl. L 257 vom 27.10.1995, S. 1.","OJ L 257, 27.10.1995, p. 1."
- Merkur. - GroßerZeus?,- Mercury...
- Ich komme gleich.,- Lucy? - I'm coming.
Nicht umdrehen!,Don't look back.
"Was machst du hier, meine süße Blutorange?","What are you doing, my sweet little blood orange?"
Entschuldigen Sie bitte.,Pardon me.
"Aber dann machte ich einen falschen Pinselstrich, und es ist mir wieder entglitten.",But then one wrong brushstroke and it got away once again.
Beschluss des Europäischen Parlaments,Decision of the European Parliament
Und Kalzium.,Of course. Cool.
Bleib bei mir.,Stay with..
Das war gemein.,It was mean.
"Ja, das ist in Ordnung.",That's fair enough.
- Bestimmt.,- I think so.
- Es war ein tolles Spiel.,That was a great game.
"Also etwas Respekt, sonst setzt es was.",So show me some respect or I'll give you a personal tour.
"Komm, du freches Früchtchen.",Come on now.
Dass du zurückkommst.,For you to come back.
- Furchtbar.,- The worst.
Es sollte eigentlich eine englische Kopie im Ordner sein. Es ist in Ordnung.,There was supposed to be an English copy in the folder.
"Aber wir werden uns unsere Leben nicht von diesen kleinen Kristallen diktieren lassen, oder?",We're not gonna let our lives be dictated by these little crystals?
Pass nur auf.,Just watch.
- Da runter?,This way?
Ich hab noch einen.,I have another.
Quatsch!,That's no good!
Folge dem Geld.,Follow the money.
Da ist bereits jemand drin.,Somebody's already in there.
Die Ätiologie ist nicht definiert worden.,The aetiology has not been defined.
Griechenland,Greece
Steh auf!,Get up.
Bringen Sie sich in Ordnung.,Get cleaned up.
Ich verstehe nicht.,I don't understand.
Was ist mit Max?,What about Max?
- Guten Abend.,"- Good evening,"
Er braucht Dich.,He needs you.
Ist hier irgend jemand?,Anybody here?
Ich werde es selbst herausfinden.,I'll figure it out myself.
Im Kühlschrank lagern.,Store in a refrigerator.
"Genau das, was du gesagt hast!",Exactly what you said!
- Warten Sie. - Carrie...,- Carrie...
Ich war ein Arschloch.,I was a pig.
Er ist nicht hier.,He's not here.
Da ist mehr... darüber hinaus.,There is more beyond.
"du kannst sie eine Zeit ausschließen, aber sie wird nie verschwinden"".","you can shut it out for a time but it ain't going away""."
Das ist Blut.,That's blood.
"Nein, hör zu.","No, listen."
Über uns,Contact us
"Ich sehe nur noch eine Lösung, mein Colonel. Sie liegt an Ihnen, birgt aber große Risiken.","I see only one possible solution, colonel, it depends on you, and it's very risky."
Das ist nicht witzig.,That ain't funny.
Mein Name ist Barry Allen. Ich bin der schnellste Mensch der Welt.,"My name is Barry Allen, and I am the fastest man alive."
- Es fängt an und hört wieder auf.,"On and off, off and on."
Deshalb habe ich dir etwas von meinem Vater mitgebracht. Wo ist Jake?,Where's Jake?
"- Ich habe ihm gesagt, er soll zur Hölle fahren.",- I told him to go to hell.
Ich bin unglücklich.,- I'm not happy.
Wir haben es verbraucht.,We burned through it.
Willkommen. Das trifft sich gut.,"Hello, Colonel."
"Komm doch am Nachmittag zu uns, dann würden wir was Besonderes für dich kochen. - Ja?",Mm-Hmm.
Fahr hier ran.,Pull over here.
- Spiele.,"Play the game, Harding."
"Nein, es stehen nur ein paar Dinge an.","Oh, no, just got a few things on."
6.3 Dauer der Haltbarkeit,6.3 Shelf-life
Bubbs...,Bubs...
Bei einem Schätzwert von 300 000 Dollar.,"At a $300,000 valuation."
- Warte auf uns!,- Wait for us!
Das verrate ich Ihnen.,I tell you.
Wie fühlen Sie sich?,- Just fine.
Bei Ratten ging ein minimaler bis leichter Abfall der Erythrozytenwerte mit Knochenmarkveränderungen einher; ähnliche Veränderungen wurden mit geringerer Häufigkeit bei Affen beobachtet.,"In rats, minimal to mild decreases in erythrocyte parameters were accompanied by bone marrow changes; similar changes occurred in monkeys at a lower incidence."
Ich habe gar nichts. Wirklich.,I have nothing.
Garden (116),Garden
Wir hatten Kontakt.,We made contact.
DER PRÄSIDENT DER BUNDESREPUBLIK DEUTSCHLAND:,THE PRESIDENT OF THE FEDERAL REPUBLIC OF GERMANY:
- Logisch!,Word.
"He, du bist der aufgetaute Typ aus dem 20. Jahrhundert, nicht?","Hey, you're the unfrozen guy from the 20th century, right?"
"Mann, du bist krank.","You're insane, man."
Es scheint Euch gut zu gehen.,You seem well.
Gruppe als & ungelesen markieren,Show folder quick search line edit
"Wann immer er sich öffentlich zeigte, wurde er von Autogramm- und Souvenirjägern umlagert.",'Everytime he appeared in public 'the crowds clamoured for his autograph and souvenirs.'
Das wollen Sie vor den Kindern nicht hören.,"Ma'am, you're not gonna wanna hear this in front of your kids."
DER RAT DER EUROPÄISCHEN UNION —,"THE COUNCIL OF THE EUROPEAN UNION,"
Behalte den Rest.,Keep it.
- Nehmen Sie doch Platz.,"Uh, won't you sit down, please?"
"Ich bring euch um, verdammt.",I'm gonna fucking kill you.
Ich brauche Hilfe!,I need help!
Ich schwimme.,- Swimming.
Jetzt im TEMPLE THEATER DANTE,Now Playing TEMPLE THEATRE DANTE
Ein Lehrer.,A teacher.
Was macht der hier?,What 's he doing here?
4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen,4.5 Interaction with other medicinal products and other forms of interaction
Entschuldigen Sie!,- Excuse me.
"Gut, ich werde gehen.",I'm leaving.
Seekartenunterlagen für schiffseigenen Radar,Chart facilities for shipborne radar
Hübsches Mädchen.,Clever girl.
Mir macht das alles nichts aus.,I'm totally cool with the situation.
Hier ist das Geld.,Here's some money.
Das ist jetzt alles vorbei.,That's all over.
"Sind Sie sicher, dass wir das tun sollten?",Are you sure we should be doing this?
Der Präsident,The President
"Die Mitgliedstaaten, in denen gemäß Nummer 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EWG) Nr. 1612/68 für rumänische Staatsangehörige gelten, können bis zum Ende eines Zeitraums von sieben Jahren nach dem Beitritt die in den folgenden Absätzen beschriebenen Verfahren anwenden.","Those Member States in which, by virtue of paragraph 3, 4 or 5, Articles 1 to 6 of Regulation (EEC) No 1612/68 apply as regards Romanian nationals, may resort to the procedures set out in the subparagraphs below until the end of the seven year period following the date of accession."
Sind Sie noch da?,Are you still there?
- Warum nicht?,Why not?
Würden Sie mich kurz entschuldigen?,- Would you excuse me for just a moment? - Sure.
Wofür?,For what?
"- Sag den Männern, sie sollen zurück.","- Order the men to move back, Joshua."
Ein Mann soll ein Bollwerk der Stärke sein.,You expect a man to be a tower of strength.
"- Er ist es! - Sir, wie geht's Ihnen?",_
"Der militärische Orden ist streng mit jenen, die ihre Grenzen überschreiten.",The Faith Militant are very stern with those who overstep their bounds.
Warenbezeichnung,CCT heading
Der Arsch hat mir das hier angetan.,"Yeah, I'm gonna beat his fucking ass."
Ich könnte etwas essen.,I could eat.
- Es geht ihr gut.,- She's fine.
"- Mir gefällt es hier, Sir.","This place okay, for you? Oh, it's just fine, sir."
Diese Verordnung tritt am Tag ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities.
"Nicht, dass Sie sich da verrechnen.",I don't want you getting any ideas.
"Danke, Gilbert.","Thank you, Gilbert."
Hol dir einen Stuhl.,Pull up a chair.
Es funktioniert!,It works!
Aber an Weisheit fehlt es ihr nicht.,But not without wisdom.
"Sieh es als ersten Schritt der Renovierung an, ok?","Just consider this the official start of our remodel, okay?"
Ich bin noch nicht fertig.,-But I'm not done.
Ich hätte es wissen müssen...,I should've known you...
Ich bin so weit.,- OK. I'm ready.
- Ich will mein Geld zurück.,I want my money back.
Danke sehr.,Thank you.
Schau.,Look.
Nicht unbedingt.,Maybe not.
Die Guillotines sind ein Schandfleck.,The Guillotines are a stain
