EN,UK
The children.,Діти.
I still have some friends in high places.,В мене все ще є друзі в високих кругах.
Successfully moved to trash.,Успішно пересунуто до смітника. @ info: status
The given name could not be resolved to a unique server. Make sure your network is setup without any name conflicts between names used by Windows and by UNIX name resolution.,"Не вдається зв' язати вказану назву з унікальним сервером. Перевірте, що в мережі немає конфліктів між назвами вузлів у Windows та UNIX."
Data tool,Засоби роботи з даними
Close the door.,Закрий двері.
I'm just glad he's feeling better.,"Я рада, що йому стало краще."
Don't you touch her!,- Не чіпай її!
So?,І що?
Subdued,З підпорядкуванням
Notes,Примітки
"Look, he's my lawyer, same as yours.","Слухай, він мій адвокат, також як і твій."
"Forget about control, Nina. I want to see passion.","Забудь про контроль Ніно, я хочу побачити пристрасть"
I pray you two see each other again soon.,"Я молюся, щоб ви двоє змогли незабаром побачитися."
Configure the number of calendar days you wish to be published and available to others,"Тут ви можете вказати кількість днів, дані про які буде оприлюднено."
The shader should run!,Програма малювання тіней повинна запуститися!
Any Video4Linux compatible device,Будь- які сумісні з Video4Linux пристрої
How did you end up here?,"Зараз розповім, сер."
- What do you expect?,- А на що ви розраховуєте?
Top Output Bin (Face Down),Верхній вивідний (лицем вниз)
"Well, you know, I...","Добре, знаєш, я..."
You have to enter the name of the new identity into the New Identity edit field. This will be the name shown in the identity list.,Вам слід ввести назву нового профілю до поля Новий профіль. Введену назву буде показано у списку профілів.
No.,"- Ні, не треба."
Sharp turns,Різкі повороти
I'll work something out.,Я щось вирішу.
"And how many years did it take to build-- my grandfather and Uncle were murdered here, weren't they?","І скільки років пішло на будівництво Тут вбили мого діда і дядька, правда?"
"I want you to steal the diamonds. - No, that's...","я хочу, щоб ви вкрали діаманти."
She can speak not only English but also French.,"Вона може говорити не тільки англійською, але й французькою."
Oh I told him...,- Що ви йому сказали?
Delete the current profile,Вилучити поточний профіль
"It's an Earth-shaking discovery, and it's forcing us to radically reassess our place in the Universe and even our eventual fate.",Це відкриття всесвітнього масштабу і воно змушує нас радикально переоцінити наше місце у всесвіті і навіть нашу можливу долю.
- It's great.,- Це просто божевілля.
"Whoa, excuse me.",вибачте мені.
"Okay, you really gotta help me out here.","гаразд, ви дійсно маєте допомогти мені тут."
Hit me.,Здай мені.
We can shake hands with Russian guests and wish them a safe return home.,Ми можемо потиснути руки російським гостям і побажати їм безпечно повернутися додому.
The SUMSQ() function calculates the sum of all the squares of values given as parameters. You can calculate the sum of a range SUMSQ(A1: B5) or a list of values like SUMSQ(12; 5; 12.5).,"Функція SUMSQ () підраховує суму квадратів значень, переданих у параметрах. Ви можете підрахувати суму діапазону, SUMSQ( A1: B5) або списку значень, SUMSQ( 12; 5; 12. 5)."
1971?,У 1971-му році?
So is there anything I should know about?,є ще щось що я маю знати про це?
"Oh, what the hell is this?",Якого біса?
It's the last thing he'll expect.,На таке він не сподіватиметься.
-What's the matter?,- У чому справа?
Konqueror is a combined web- and filebrowser.,Konqueror є комбінацією переглядача Тенет і програми для роботи з файлами.
Delete the selected task.,Вилучити вибране завдання.
- Mm-hmm.,- Угу.
My dental plan doesn't kick in for another six months.,Нехай усі його зуби будуть цілі.
Color Roles,Ролі кольорів
Arwen's life is now tied to the fate of the Ring.,Життя Арвен тепер прив'язане до Персня.
"Yes, yes, yes. I gotta go now, ol' fever Sal.","Так, так, так, чоловіче, час."
"Mr. Fifield, let's get a grid of the structure.","Пане Файфілд, визначте структуру цієї споруди."
(CROWD MURMURING),РОПТАННЯ У НАТОВПІ
- Do not!,- Зовсім ні!
"This will be your room, Mr. Bond.","Це ваша кімната, містере Бонд."
Play the original Quake III Arena,Грати у початкову версію Quake III Arena
It's mad in here.,"Діти, тут можна з глузду з'їхати."
If we don't freeze to death first.,Якщо спершу не загинемо від холоду.
Right.,Вірно.
System Administration,Керування системою
I think we should talk about it.,"Тому я вважаю, нам є про що поговорити."
Dust Devils,Пилові завихренняweather condition
Next LaTeX Warning,Наступне попередження LaTeX
I like that you get to see the same people every day... bring 'em that check they've been waiting for... and presents for Christmas...,"Мені подобається, що ти можеш бачити одних і тих же людей щодня. Давати їм те, що вони чекали. Подарунки на Різдво."
Installation,Встановлення
"Easy, pal.","Легше, друзяко."
Show Size In,Показувати розмір в
Has he told you?,Він тобі казав?
I hit a snag.,﻿Я знаю.
"Step away, Tal Hajus.",Відійди. Таль Аджас.
And she says to the other...,І вона йому говорить...
None but the king of Gondor may command me.,Я вимагаю від вас виконати вашу присягу!
If true this tense is selected for learning.,"Якщо « так », цей час буде вибрано для тестування."
I want to buy it.,Я хочу купити її.
"Okay, give it to me.",Давай я помогу.
It was one of those instant best friend things.,"Це були почуття, які можливі тільки у справжніх друзів."
Please check your permissions to create it.,"Будь ласка, переконайтеся, що ви маєте право на створення цього елемента."
The first word of a game should cover the central position.,Перше слово гри слід розміщувати по центру.
Cursor & Selection,Курсор та вибір
Our sons will take over the company.,Наші сини будуть керувати компанією.
Has he said anything?,Він щось сказав?
This home will be your home.,Цей дім буде вашим домом.
The ones that aren't healing.,"Ті, які не гояться."
"- His mouse, wifey, gargles brandy...","- Його мишка, жіночка, глушить бренді..."
"Yes, it still stands at 74%.","Так, як і раніше зупинилося на 74%."
"Isn't Job crying the same cry as Ginsberg's ""Howl""?","Чи Йов не плаче так само, як Ґінзберґ у ""Плачі""?"
"I mean, that shouldn't be your reference.",Не це повинно бути мірилом твоїх зусиль.
"& kiten; can also help you refine your searches by allowing you to search for new text in the results generated by a previous search. To do this, just choose Search Search in Results to perform your search.","& kiten; також надає вам змогу уточнити результат пошуку за допомогою пошуку нового тексту у результатах, які є наслідком попереднього пошук. Щоб виконати такий пошук, просто оберіть пункт меню Пошук Шукати у результатах."
"Get out there and find your little girlfriend, bring her and Julia Shumway back here, pronto.","Вимітайся звідси і знайди свою малу подружку, привези її та Джулію Шамвей сюди, швидко."
"No, no, no.","Ні, ні, ні."
Now you have a military dictatorship.,Тепер у вас військова диктатура.
You can do it.,Ви подужаєте!
I hate to think where that puts me.,Я не хочу думати скільки тоді мені.
- Business purposes only.,- Тільки для роботи.
"Okay, bye-bye.","Добре, бувай."
"Not knowing what to do, I asked for his advice.","Не знаючи, що робити, я попрохав його поради."
This schedule is baselined. Do you want to remove the baseline?,Цей розклад належить до базового плану. Ви бажаєте вилучити базовий план?
"Yeah, I remember.","Так, я пам'ятаю."
This is where I buried it.,Ось тут я його закопав.
There's no oil in it.,Паливо закінчилось.
Site Policy,Правила поведінки для сайтів
A little bit further.,І раз! І два! І три!
"The Heaviside Step Function. Returns 1 if x is positive, 0.5 if x is zero, or 0 if x is negative.","Ступінчаста функція Хевісайда. Повертає 1, якщо x додатне, 0. 5, якщо x рівне нулеві, і 0, якщо x від’ ємне."
A land where nothing grew.,"Землі, на якій ніщо не росло. Тепер тут є рослини."
a neat analog clock,лаконічний аналоговий годинник
"Doomed to wait upon an old man, who should have loved her as a father.","Проклята піклуватися про старого чоловіка, що мав би її любити як батько."
Where did you get it?,Звідки вона у вас?
"When you have selected a cell, pressing the Enter key will move the cell cursor one cell left, right, up or down, as determined by this setting.","Цей параметр визначає напрямок переміщення у наступну комірку, якщо натиснути клавішу Enter. Можливе переміщення на одну комірку ліворуч, праворуч, вгору або вниз."
Fax file(s) to show,Показати файли факсів
What do you want to do?,Що збираєшся робити?
"- Well, bravo!",- Молодця!
Nadia.,Надю!
"- Twins, my lord.","- Двійнята, мій пане."
