Unnamed: 0,DE,EN,TRANSLATION,bertscore
0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es dein Tod sein wird, weil du...",0.9076054096221924
1,Sagen Sie einfach stopp.,Just say when.,"Sagen Sie nur, wann.",0.882671594619751
2,- Warte.,- Wait.,- Warte mal.,0.9450379014015198
3,Ich will nicht hier sein.,I don't wanna be here.,Ich will hier nicht sein.,0.9955892562866211
4,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.",Also 90 Prozent meines fotografischen Prozesses ist eigentlich nicht fotografisch.,0.9379091262817383
5,Wie bezaubernd.,So lovely.,So schön.,0.7246631979942322
6,Muss ich?,Do I have to?,Muss ich das?,0.9395549893379211
7,Nehmen Sie Platz.,Please sit.,Bitte setzen Sie sich.,0.8518785238265991
8,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich gesagt, ich denke, du solltest herausfinden, was mit deinem Vater los ist.",0.9662976861000061
9,Wie halten Sie sich?,How you holding up?,Wie geht's dir?,0.8842343688011169
10,- Fangen wir an.,- Let's go.,- Lasst uns gehen.,0.8696999549865723
11,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Kann ich wirklich aufstehen, Doktor?",0.9339714646339417
12,- Was machst du damit?,- What will you do with it?,- Was willst du damit tun?,0.9472078084945679
13,- Können wir reden?,- Can we talk?,- Können wir reden?,0.9999998211860657
14,Runter!,Get down!,Geh runter!,0.8573451638221741
15,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung nur darauf zurückzuführen war, dass Pamela Raker eine Republikanerin war?",0.9432839751243591
16,- Gern.,- Sure.,- Natürlich.,0.8005450963973999
17,in Erwägung nachstehenden Grundes:,Whereas:,Insofern:,0.7472947835922241
18,Wir haben ferngesehen.,We were watching the tv.,Wir sahen uns das Fernsehen an.,0.8874595761299133
19,Na schön.,Oh.,"Oh, das ist so.",0.7250990271568298
20,Lebt wohl.,Goodbye.,- Wiedersehen.,0.7727528810501099
21,Werte,Values,Werte,0.9999997615814209
22,Oder was meinst du?,What do you say Marylin?,"Was sagst du, Marylin?",0.7961763143539429
23,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","Langsam, langsam, schnell, schnell.",0.765161395072937
24,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","In klinischen Studien wurde KOGENATE Bayer bei 37 bisher unbehandelten Patienten (PUP) und 23 minimal behandelten pediatrischen Patienten (MTPs, die als gleich oder weniger als 4 Expositionstage definiert sind) zur Behandlung von Blutungen verwendet.",0.88947594165802
25,Tagungswoche,The Week,Die Woche,0.6550175547599792
26,Deine Zeit wird kommen.,Your time will come.,Ihre Zeit wird kommen.,0.966946542263031
27,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,Welche Regeln für das Leben führen Sie?,0.85130375623703
28,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,Wo zum Teufel willst du denn hin?,0.9061671495437622
29,Keine Bewegung.,-hold it! hold it! -Jesus.,- Halt es auf!,0.7064692974090576
30,"Ja, natürlich.","Yes, sir. I'm very sorry.","Ja, Sir, es tut mir sehr leid.",0.7699129581451416
31,Die Autoschlüssel.,Give me your car keys.,Gib mir deine Autoschlüssel.,0.8941936492919922
32,Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.,Wir könnten überall in der Galaxie geworfen werden.,0.9365777373313904
33,"Pumbaa, du bist 'n Schwein.","Pumbaa, you are a pig.","Pumbaa, du bist ein Schwein.",0.9421113729476929
34,Übrigens:,Extra tip:,Zusätzlicher Tipp:,0.7573716640472412
35,Heiß!,Hot!,Es ist heiß!,0.8810993432998657
36,Aber jetzt nicht mehr.,But not any more,Aber nicht mehr.,0.971148669719696
37,- Das stimmt.,- That's true.,- Das ist wahr.,0.8507820963859558
38,"Pink für dich, Blau für Luke.","Pink for you, blue for Luke.","Pink für dich, blau für Luke.",1.0
39,- Ganz ruhig bleiben.,That's right.,- Das stimmt.,0.8190968632698059
40,"Weißt du, wer Remy Danton ist?",Do you know who Remy Danton is?,"Weißt du, wer Remy Danton ist?",0.9999999403953552
41,Ich möchte jetzt gehen.,I want to go.,Ich will gehen.,0.9101080894470215
42,- Sicher.,Sure.,- Sicher.,1.000000238418579
43,Ich darf mich für eure Geduld bedanken.,Thank you for your patience.,Danke für Ihre Geduld.,0.8890129327774048
44,"Bob, Sie haben da was am Anzug.","Yeah. Bob, you got something on your suit.","Ja, Bob, du hast etwas auf deinem Anzug.",0.8857479095458984
45,Sieht gut aus.,Looks good.,Das sieht gut aus.,0.9661974906921387
46,- Sid.,- Sid.,- Das ist Sid.,0.8301870822906494
47,- Ein Bündnis mit wem?,- Klaus.,- Das ist Klaus.,0.8182640671730042
48,- Hast du das gesehen? - Was?,- Did you see that?,- Hast du das gesehen?,0.9700368642807007
49,Mindestens 90 %; sekundäre Komponenten 4-6 % Geraniol und 1-2 % Nerol,At least 90 %; secondary components 4-6 % geraniol and 1-2 % nerol,Mindestens 90 %; Sekundärkomponenten 4-6 % Geraniol und 1-2 % Nerol,0.9846104383468628
50,Wir fahren.,We're leaving.,Wir gehen weg.,0.9172965288162231
51,Drücken!,Push! Push!,Schieben Sie!,0.8103761672973633
52,Geht schon.,You'll do.,Das kannst du.,0.8024482727050781
53,Wissen Sie Bescheid über Manfredi und den Pakt?,Do you know about Manfredi and the covenant...?,Weißt du von Manfredi und dem Covenant...?,0.8975896239280701
54,Länge des GGB,Length of SCI,Länge der SCI,0.8218491077423096
55,- Ja. Genau so.,Something like that.,So etwas.,0.7601287364959717
56,"Nein, das ist unmöglich.",It's just not possible.,Das ist einfach nicht möglich.,0.8869519233703613
57,"Sei willkommen, Bruder.","Welcome, brother.","Willkommen, Bruder.",0.9583135843276978
58,Wer sind diese Männer?,who are those men?,Wer sind diese Männer?,0.9999998211860657
59,Hört zu...,Listen!,Hören Sie sich an!,0.8302507996559143
