Unnamed: 0,DE,EN,TRANSLATION,BLEURT_Score,UK
0.0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es dein Tod sein wird, weil du...",-0.28730666637420654,
1.0,Sagen Sie einfach stopp.,Just say when.,"Sagen Sie nur, wann.",-0.5405093431472778,
2.0,- Warte.,- Wait.,- Warte mal.,0.4780362844467163,
3.0,Ich will nicht hier sein.,I don't wanna be here.,Ich will hier nicht sein.,0.9312348365783691,
4.0,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.",Also 90 Prozent meines fotografischen Prozesses ist eigentlich nicht fotografisch.,0.10627003014087677,
5.0,Wie bezaubernd.,So lovely.,So schön.,-1.3512823581695557,
6.0,Muss ich?,Do I have to?,Muss ich das?,0.9109713435173035,
7.0,Nehmen Sie Platz.,Please sit.,Bitte setzen Sie sich.,-1.0894763469696045,
8.0,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich gesagt, ich denke, du solltest herausfinden, was mit deinem Vater los ist.",0.25358933210372925,
9.0,Wie halten Sie sich?,How you holding up?,Wie geht's dir?,-0.8113691210746765,
10.0,- Fangen wir an.,- Let's go.,- Lasst uns gehen.,-1.2060279846191406,
11.0,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Kann ich wirklich aufstehen, Doktor?",-0.2824835181236267,
12.0,- Was machst du damit?,- What will you do with it?,- Was willst du damit tun?,-0.39044058322906494,
13.0,- Können wir reden?,- Can we talk?,- Können wir reden?,0.920654296875,
14.0,Runter!,Get down!,Geh runter!,-0.08376215398311615,
15.0,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung nur darauf zurückzuführen war, dass Pamela Raker eine Republikanerin war?",0.3765121102333069,
16.0,- Gern.,- Sure.,- Natürlich.,-0.6359682083129883,
17.0,in Erwägung nachstehenden Grundes:,Whereas:,Insofern:,-1.1923078298568726,
18.0,Wir haben ferngesehen.,We were watching the tv.,Wir sahen uns das Fernsehen an.,-0.411281943321228,
19.0,Na schön.,Oh.,"Oh, das ist so.",-1.0846667289733887,
20.0,Lebt wohl.,Goodbye.,- Wiedersehen.,-1.1227061748504639,
21.0,Werte,Values,Werte,0.9008018970489502,
22.0,Oder was meinst du?,What do you say Marylin?,"Was sagst du, Marylin?",-0.9915008544921875,
23.0,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","Langsam, langsam, schnell, schnell.",-1.1405730247497559,
24.0,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","In klinischen Studien wurde KOGENATE Bayer bei 37 bisher unbehandelten Patienten (PUP) und 23 minimal behandelten pediatrischen Patienten (MTPs, die als gleich oder weniger als 4 Expositionstage definiert sind) zur Behandlung von Blutungen verwendet.",0.25042879581451416,
25.0,Tagungswoche,The Week,Die Woche,-1.3658452033996582,
26.0,Deine Zeit wird kommen.,Your time will come.,Ihre Zeit wird kommen.,0.17796334624290466,
27.0,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,Welche Regeln für das Leben führen Sie?,-1.234215497970581,
28.0,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,Wo zum Teufel willst du denn hin?,-0.5809354782104492,
