Unnamed: 0,DE,EN,TRANSLATION,chrf_score
0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es dein Tod sein wird, weil du...",39.7704466748804
1,Sagen Sie einfach stopp.,Just say when.,"Sagen Sie nur, wann.",34.36652055292413
2,- Warte.,- Wait.,- Warte mal.,83.4542337114218
3,Ich will nicht hier sein.,I don't wanna be here.,Ich will hier nicht sein.,56.044891640866865
4,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.",Also 90 Prozent meines fotografischen Prozesses ist eigentlich nicht fotografisch.,62.090160044818155
5,Wie bezaubernd.,So lovely.,So schön.,1.4124293785310735
6,Muss ich?,Do I have to?,Muss ich das?,73.54258682144817
7,Nehmen Sie Platz.,Please sit.,Bitte setzen Sie sich.,24.45105312105002
8,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich gesagt, ich denke, du solltest herausfinden, was mit deinem Vater los ist.",65.23414689522802
9,Wie halten Sie sich?,How you holding up?,Wie geht's dir?,13.722759252293312
10,- Fangen wir an.,- Let's go.,- Lasst uns gehen.,10.9885553159728
11,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Kann ich wirklich aufstehen, Doktor?",49.496773096054326
12,- Was machst du damit?,- What will you do with it?,- Was willst du damit tun?,50.08856638109975
13,- Können wir reden?,- Can we talk?,- Können wir reden?,100.0
14,Runter!,Get down!,Geh runter!,51.363181021332785
15,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung nur darauf zurückzuführen war, dass Pamela Raker eine Republikanerin war?",62.00209238563094
16,- Gern.,- Sure.,- Natürlich.,6.666666666666667
17,in Erwägung nachstehenden Grundes:,Whereas:,Insofern:,3.759398496240602
18,Wir haben ferngesehen.,We were watching the tv.,Wir sahen uns das Fernsehen an.,27.73567595565254
19,Na schön.,Oh.,"Oh, das ist so.",9.105047641546578
