Unnamed: 0,de,uk,TRANSLATION,BLEU_Score,avg
0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.,1.0,0.8304443303979759
1,1 ist keine Primzahl.,Одиниця не є простим числом.,1 ist keine Primzahl.,1.0,0.8304443303979759
2,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,3 hoch 3 ist 27.,1.0,0.8304443303979759
3,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte.",1.2213386697554703e-77,0.8304443303979759
4,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihn an.,1.0,0.8304443303979759
5,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Leute haben wenig Hoffnung.,1.0,0.8304443303979759
6,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.,1.0,0.8304443303979759
7,Aber sicher!,Звичайно!,Aber sicher!,1.491668146240062e-154,0.8304443303979759
8,Aber sicher!,Ну звичайно ж!,Aber sicher!,1.491668146240062e-154,0.8304443303979759
9,Aber warum?,Але чому?,Aber warum?,1.2213386697554703e-77,0.8304443303979759
10,Ach nein! Wirklich?,Не може бути! Серйозно?,Ach nein! Wirklich?,1.0,0.8304443303979759
11,"Ach, nur das Übliche.","А, все як завжди.","Ach, nur das Übliche.",1.0,0.8304443303979759
12,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Ach richtig, ich hatte ja morgen etwas vor.",1.0,0.8304443303979759
13,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits bilden ein Hobbyte.,1.0,0.8304443303979759
14,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affen sind intelligent.,1.2213386697554703e-77,0.8304443303979759
15,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...",Ah! Melkt man so eine Kuh?,1.0,0.8304443303979759
16,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Ah, so melkt man also eine Kuh?",1.0,0.8304443303979759
17,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.,1.0,0.8304443303979759
18,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Akzeptieren Sie Kreditkarten?,1.0,0.8304443303979759
19,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.,1.491668146240062e-154,0.8304443303979759
20,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Alle auf der Fotografie lächeln.,1.0,0.8304443303979759
21,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle Bälle sind gelb.,1.0,0.8304443303979759
22,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Bänke sind besetzt.,1.0,0.8304443303979759
23,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Alle Blätter des Baums sind gelb geworden.,1.0,0.8304443303979759
24,Alle blieben.,Всі залишилися.,Alle blieben.,1.491668146240062e-154,0.8304443303979759
