Unnamed: 0,de,uk,TRANSLATION,BLEURT_Score,UK
0.0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.,0.9258537292480469,
1.0,1 ist keine Primzahl.,Одиниця не є простим числом.,1 ist keine Primzahl.,0.9289472103118896,
2.0,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,3 hoch 3 ist 27.,0.9312757253646851,
3.0,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte.",0.91667640209198,
4.0,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihn an.,0.9206863641738892,
5.0,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Leute haben wenig Hoffnung.,0.9164378046989441,
6.0,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.,0.9256570935249329,
7.0,Aber sicher!,Звичайно!,Aber sicher!,0.9271795749664307,
8.0,Aber sicher!,Ну звичайно ж!,Aber sicher!,0.9271795749664307,
9.0,Aber warum?,Але чому?,Aber warum?,0.9223400950431824,
10.0,Ach nein! Wirklich?,Не може бути! Серйозно?,Ach nein! Wirklich?,0.9176449775695801,
11.0,"Ach, nur das Übliche.","А, все як завжди.","Ach, nur das Übliche.",0.920771598815918,
12.0,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Ach richtig, ich hatte ja morgen etwas vor.",0.9165574908256531,
13.0,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits bilden ein Hobbyte.,0.9184367656707764,
14.0,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affen sind intelligent.,0.9076489210128784,
15.0,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...",Ah! Melkt man so eine Kuh?,0.8999508619308472,
16.0,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Ah, so melkt man also eine Kuh?",0.9088847041130066,
17.0,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.,0.9146672487258911,
18.0,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Akzeptieren Sie Kreditkarten?,0.9146742820739746,
19.0,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.,0.9191230535507202,
20.0,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Alle auf der Fotografie lächeln.,0.9156372547149658,
21.0,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle Bälle sind gelb.,0.9087188839912415,
22.0,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Bänke sind besetzt.,0.9221596717834473,
23.0,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Alle Blätter des Baums sind gelb geworden.,0.8996114730834961,
24.0,Alle blieben.,Всі залишилися.,Alle blieben.,0.8968936204910278,
25.0,Alle Frauen sind schön.,Всі жінки гарні.,Alle Frauen sind schön.,0.9095136523246765,
26.0,Alle haben geschlafen.,Усі спали.,Alle haben geschlafen.,0.9193247556686401,
27.0,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,0.8868138790130615,
28.0,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Alle halten Tom für etwas verrückt.,0.909671425819397,
29.0,Alle hassen mich.,Усі мене ненавидять.,Alle hassen mich.,0.934451699256897,
30.0,Alle hassen Tom.,Всі ненавидять Тома.,Alle hassen Tom.,0.926266074180603,
31.0,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,Alle hatten ein gutes Jahr.,0.9099682569503784,
32.0,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,Alle hatten ein gutes Jahr.,0.9099682569503784,
33.0,Alle hatten Hunger.,Усі хотіли їсти.,Alle hatten Hunger.,0.912854790687561,
34.0,Alle Hunde sind am Leben.,Всі собаки живі.,Alle Hunde sind am Leben.,0.9180246591567993,
35.0,Alle Hunde sind lebendig.,Всі собаки живі.,Alle Hunde sind lebendig.,0.9165970087051392,
36.0,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.",0.8934648633003235,
37.0,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Alle ihre Bemühungen waren vergebens.,0.9224628210067749,
38.0,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Alle Jungen spielen gerne Baseball.,0.9109498262405396,
39.0,Alle Jungen tanzten.,Усі хлопці танцювали.,Alle Jungen tanzten.,0.9139127135276794,
40.0,Alle kannten das.,Усі це знали.,Alle kannten das.,0.9231938719749451,
41.0,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Alle Kinder erhielten ein Geschenk.,0.9056905508041382,
42.0,Alle lächelten.,Всі посміхнулися.,Alle lächelten.,0.9225782155990601,
43.0,Alle lachten über ihn.,Всі сміялися з нього.,Alle lachten über ihn.,0.8993448615074158,
