Unnamed: 0,de,uk,TRANSLATION,chrf_score
0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.,100.0
1,1 ist keine Primzahl.,Одиниця не є простим числом.,1 ist keine Primzahl.,100.0
2,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,3 hoch 3 ist 27.,100.0
3,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte.",100.0
4,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihn an.,100.0
5,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Leute haben wenig Hoffnung.,100.0
6,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.,100.0
7,Aber sicher!,Звичайно!,Aber sicher!,100.0
8,Aber sicher!,Ну звичайно ж!,Aber sicher!,100.0
9,Aber warum?,Але чому?,Aber warum?,100.0
10,Ach nein! Wirklich?,Не може бути! Серйозно?,Ach nein! Wirklich?,100.0
11,"Ach, nur das Übliche.","А, все як завжди.","Ach, nur das Übliche.",100.0
12,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Ach richtig, ich hatte ja morgen etwas vor.",100.0
13,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits bilden ein Hobbyte.,100.0
14,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affen sind intelligent.,100.0
15,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...",Ah! Melkt man so eine Kuh?,100.0
16,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Ah, so melkt man also eine Kuh?",100.0
17,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.,100.0
18,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Akzeptieren Sie Kreditkarten?,100.0
19,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.,100.0
20,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Alle auf der Fotografie lächeln.,100.0
21,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle Bälle sind gelb.,100.0
22,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Bänke sind besetzt.,100.0
23,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Alle Blätter des Baums sind gelb geworden.,100.0
24,Alle blieben.,Всі залишилися.,Alle blieben.,100.0
25,Alle Frauen sind schön.,Всі жінки гарні.,Alle Frauen sind schön.,100.0
26,Alle haben geschlafen.,Усі спали.,Alle haben geschlafen.,100.0
27,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,100.0
28,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Alle halten Tom für etwas verrückt.,100.0
29,Alle hassen mich.,Усі мене ненавидять.,Alle hassen mich.,100.0
30,Alle hassen Tom.,Всі ненавидять Тома.,Alle hassen Tom.,100.0
31,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,Alle hatten ein gutes Jahr.,100.0
32,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,Alle hatten ein gutes Jahr.,100.0
33,Alle hatten Hunger.,Усі хотіли їсти.,Alle hatten Hunger.,100.0
34,Alle Hunde sind am Leben.,Всі собаки живі.,Alle Hunde sind am Leben.,100.0
35,Alle Hunde sind lebendig.,Всі собаки живі.,Alle Hunde sind lebendig.,100.0
