Unnamed: 0,de,uk,TRANSLATION,meteor_score
0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.,0.996
1,1 ist keine Primzahl.,Одиниця не є простим числом.,1 ist keine Primzahl.,0.9921875
2,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,3 hoch 3 ist 27.,0.996
3,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte.",0.9814814814814815
4,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihn an.,0.9976851851851852
5,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Leute haben wenig Hoffnung.,0.9976851851851852
6,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.,0.996
7,Aber sicher!,Звичайно!,Aber sicher!,0.9375
8,Aber sicher!,Ну звичайно ж!,Aber sicher!,0.9375
9,Aber warum?,Але чому?,Aber warum?,0.9814814814814815
10,Ach nein! Wirklich?,Не може бути! Серйозно?,Ach nein! Wirklich?,0.9921875
11,"Ach, nur das Übliche.","А, все як завжди.","Ach, nur das Übliche.",0.9921875
12,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Ach richtig, ich hatte ja morgen etwas vor.",0.9990234375
13,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits bilden ein Hobbyte.,0.996
14,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affen sind intelligent.,0.9814814814814815
15,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...",Ah! Melkt man so eine Kuh?,0.9985422740524781
16,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Ah, so melkt man also eine Kuh?",0.9990234375
17,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.,0.9985422740524781
18,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Akzeptieren Sie Kreditkarten?,0.9921875
19,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.,0.9375
20,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Alle auf der Fotografie lächeln.,0.996
21,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle Bälle sind gelb.,0.9921875
22,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Bänke sind besetzt.,0.9921875
