Unnamed: 0,UK,EN,TRANSLATION,BLEURT_Score
0.0,Давайте щось спробуємо!,Let's try something.,Let's try something!,0.8191477060317993
1.0,Спробуймо щось!,Let's try something.,Let's try something!,0.8191477060317993
2.0,Маю піти спати.,I have to go to sleep.,I drink to sleep.,-0.6187873482704163
3.0,Я маю йти спати.,I have to go to sleep.,I'm going to sleep.,0.6341782212257385
4.0,Мені час йти спати.,I have to go to sleep.,I need to go to bed.,0.7489932179450989
5.0,"Сьогодні 18 червня, і це день народження Мюріел!",Today is June 18th and it is Muiriel's birthday!,"June 18th, and that's Myrieel's birthday!",-0.8624622821807861
6.0,Мюріел зараз двадцять.,Muiriel is 20 now.,I'm going to die.,-1.299705982208252
7.0,Мюріел зараз двадцять років.,Muiriel is 20 now.,I'm twenty years old now.,-1.0181784629821777
8.0,Мурієль зараз 20.,Muiriel is 20 now.,I'm going to die.,-1.299705982208252
9.0,"Пароль - ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel"".",0.932960033416748
10.0,Пароль — «Muiriel».,"The password is ""Muiriel"".",The password is <unk> <unk>Muiriel<unk>.,-0.6827857494354248
11.0,Пароль — «Мюріель».,"The password is ""Muiriel"".",The password is <unk> <unk>Muriel<unk>.,-1.0007319450378418
12.0,Я скоро повернуся.,I will be back soon.,I'll be back soon.,0.8869132995605469
13.0,Незабаром повернуся.,I will be back soon.,I turned around.,-0.6779636144638062
14.0,Я хутко повернусь.,I will be back soon.,I quickly turned around.,-0.07246780395507812
15.0,Скоро повернуся.,I will be back soon.,I turned around.,-0.6779636144638062
16.0,"Я не знаю, що і сказати.",I'm at a loss for words.,I don't know what to say.,-0.930921196937561
17.0,Мені бракує слів.,I'm at a loss for words.,I'm going to take a break.,-0.46109551191329956
18.0,"Я навіть не знаю, що сказати...",I'm at a loss for words.,I don't even know what to say...,-0.9307328462600708
19.0,Не можу знайти слів.,I'm at a loss for words.,I can't find the scissors.,-1.1495933532714844
20.0,Це ніколи не скінчиться.,This is never going to end.,It never stops.,-0.11319412291049957
21.0,"Я просто і не знаю, що сказати.",I just don't know what to say.,I just don't know what to say.,0.9070008397102356
22.0,"Я не знаю, що і сказати.",I just don't know what to say.,I don't know what to say.,0.7489966154098511
23.0,"Я навіть не знаю, що сказати...",I just don't know what to say.,I don't even know what to say...,0.7087862491607666
24.0,То був злий крілик.,That was an evil bunny.,I was a cripple.,-1.1927999258041382
25.0,То був злий кролик.,That was an evil bunny.,I was a rabbit.,-1.158025860786438
26.0,Це був лихий кролик.,That was an evil bunny.,It was a rabbit.,-1.1816960573196411
27.0,Я був у горах.,I was in the mountains.,I was in the mountains.,0.9278588891029358
28.0,Я була в горах.,I was in the mountains.,I was in the mountains.,0.9278588891029358
29.0,Це недавнє фото?,Is it a recent picture?,This is a photo.,-0.14919190108776093
30.0,"Я не знаю, чи буде в мене час.",I don't know if I have the time.,"I don't know, it'll be in my hour.",-0.3144974708557129
31.0,"Не знаю, чи буде в мене час.",I don't know if I have the time.,"I don't know, it'll be in my hour.",-0.3144974708557129
32.0,"Не знаю, чи матиму час.",I don't know if I have the time.,I don't know what time it is.,0.14453238248825073
33.0,"Я не знаю, чи буде у мене час.",I don't know if I have the time.,"I don't know, it'll be my time.",0.04050661623477936
34.0,"Я не знаю, чи маю час.",I don't know if I have the time.,"I don't know, I have time.",0.13466815650463104
35.0,Освіта у цьому світі мене розчаровує.,Education in this world disappoints me.,I'm excited about this.,-1.221184492111206
36.0,Мене розчаровує освіта у цім світі.,Education in this world disappoints me.,I'm not interested in education.,-0.9287749528884888
37.0,"Ти у кращій формі, ніж я.",You're in better shape than I am.,"You're in good shape, I'm in good shape.",0.6022151112556458
38.0,"Ви у кращій формі, ніж я.",You're in better shape than I am.,"In the best way, I am.",-0.6626314520835876
39.0,Ти на моєму шляху.,You are in my way.,You're on my way.,0.6964504718780518
40.0,Ти мені заважаєш.,You are in my way.,You're in my way.,0.773749828338623
41.0,Ви мені заважаєте.,You are in my way.,You're in my way.,0.773749828338623
42.0,Це буде коштувати 30 євро.,This will cost €30.,It will cost 30 euros.,0.5671601891517639
43.0,Це коштуватиме 30 євро.,This will cost €30.,It costs 30 euros.,0.418349027633667
44.0,Це коштуватиме 30 €.,This will cost €30.,It costs 30 euros.,0.418349027633667
45.0,Я заробляю 100 євро на день.,I make €100 a day.,I earn 100 euros a day.,0.6892876029014587
46.0,"Це через те, що ти не хочеш бути наодинці.",It's because you don't want to be alone.,It's because you don't want to be alone.,0.8946800231933594
47.0,"Це тому, що ти не хочеш бути самотнім.",It's because you don't want to be alone.,That's why you don't want to be alone.,0.5703860521316528
48.0,"Це тому, що ти не хочеш бути один.",It's because you don't want to be alone.,That's why you don't want to be one.,0.25079771876335144
49.0,Цього не трапиться.,That won't happen.,This won't happen.,0.9013713598251343
50.0,Цього не станеться.,That won't happen.,It won't happen.,0.7810289859771729
51.0,Цього не буде.,That won't happen.,This won't happen.,0.9013713598251343
52.0,"Я зроблю все, що в моїх силах, щоб не заважати тобі навчатися.",I'll do my best not to disturb your studying.,I'll do everything in my power to keep you from studying.,-0.39234089851379395
53.0,"Я зроблю все, що в моїх силах, щоб не заважати вам навчатися.",I'll do my best not to disturb your studying.,I'll do everything in my power to keep you from studying.,-0.39234089851379395
54.0,"Я можу тільки здогадуватися, чи так це і для всіх інших.",I can only wonder if this is the same for everyone else.,"I can only be happy, and so are all the others.",-0.10092712938785553
55.0,Сумую без тебе.,I miss you.,I'm sad without you.,-0.8019080758094788
56.0,Я сумую за тобою.,I miss you.,I miss you.,0.912630021572113
57.0,Мені тебе бракує.,I miss you.,I'll take you.,-0.42384254932403564
58.0,"Я подзвоню їм завтра, коли повернусь.",I'll call them tomorrow when I come back.,I'll call them tomorrow when I get back.,0.7556544542312622
59.0,Мені завжди більше подобалися загадкові персонажі.,I always liked mysterious characters more.,I've always liked mysterious characters.,0.6996475458145142
60.0,Таємничі персонажі мені завжди більше подобалися.,I always liked mysterious characters more.,I always liked cartoons.,-0.44041264057159424
61.0,Тобі краще поспати.,You should sleep.,To sleep better.,-0.7501469254493713
62.0,Тобі треба поспати.,You should sleep.,You should rest.,-0.7194855213165283
63.0,Я піду.,I'm going to go.,Im going.,-1.1320691108703613
64.0,Я буду йти.,I'm going to go.,I will go.,0.44379669427871704
65.0,Я вже йду.,I'm going to go.,I'm already here.,-0.2849600911140442
66.0,Я збираюся йти.,I'm going to go.,I'm going to go.,0.9126681089401245
67.0,Я сказав їм відправити мені ще один квиток.,I told them to send me another ticket.,I said I'll go to one of the books.,-0.827032744884491
68.0,У тебе бракує терпцю на мене.,You're so impatient with me.,You're going to have to put up with me.,-0.4328208565711975
69.0,Ти такий нетерплячий зі мною.,You're so impatient with me.,You're the one who can't stand me.,-0.7702794671058655
70.0,Я не можу так жити.,I can't live that kind of life.,I can't live like this.,0.42755550146102905
71.0,Колись я хотів бути астрофізиком.,I once wanted to be an astrophysicist.,I wanted to be an astrologer.,-0.019447460770606995
72.0,Я ніколи не любив біології.,I never liked biology.,I never liked biology.,0.9246522188186646
73.0,Мені ніколи не подобалася біологія.,I never liked biology.,I never liked biology.,0.9246522188186646
74.0,Мені ніколи не подобалась біологія.,I never liked biology.,I never liked biology.,0.9246522188186646
