Unnamed: 0,UK,EN,TRANSLATION,bertscore
0,Давайте щось спробуємо!,Let's try something.,Let's try something!,0.9999999403953552
1,Спробуймо щось!,Let's try something.,Let's try something!,0.9999999403953552
2,Маю піти спати.,I have to go to sleep.,I have to go to bed.,0.9693557024002075
3,Я маю йти спати.,I have to go to sleep.,I have to go to bed.,0.9693557024002075
4,Мені час йти спати.,I have to go to sleep.,I have to go to bed.,0.9693557024002075
5,"Сьогодні 18 червня, і це день народження Мюріел!",Today is June 18th and it is Muiriel's birthday!,"It's June 18th, and it's Muriel's birthday!",0.867307186126709
6,Мюріел зараз двадцять.,Muiriel is 20 now.,Muiriel is twenty now.,0.9631180763244629
7,Мюріел зараз двадцять років.,Muiriel is 20 now.,Muiriel is 20 years old now.,0.927534818649292
8,Мурієль зараз 20.,Muiriel is 20 now.,Muiriel is 20.,0.9439245462417603
9,"Пароль - ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel.""",1.0
10,Пароль — «Muiriel».,"The password is ""Muiriel"".",The password is ʽMuiriel-i-i-i-i-i-i-i-i-i-i-i-i-i-i.,0.7115074992179871
11,Пароль — «Мюріель».,"The password is ""Muiriel"".",The password is ʽMuriel.......,0.8537472486495972
12,Я скоро повернуся.,I will be back soon.,I'll be back soon.,0.9574216604232788
13,Незабаром повернуся.,I will be back soon.,I'll be back soon.,0.9574216604232788
14,Я хутко повернусь.,I will be back soon.,I'll be right back.,0.8798672556877136
15,Скоро повернуся.,I will be back soon.,I'll be right back.,0.8798672556877136
16,"Я не знаю, що і сказати.",I'm at a loss for words.,I don't know what to say.,0.7361272573471069
17,Мені бракує слів.,I'm at a loss for words.,I don't know what to say.,0.7361272573471069
18,"Я навіть не знаю, що сказати...",I'm at a loss for words.,I don't even know what to say...,0.7339587807655334
19,Не можу знайти слів.,I'm at a loss for words.,I can't find words.,0.7959341406822205
20,Це ніколи не скінчиться.,This is never going to end.,It'll never end.,0.8594616055488586
21,"Я просто і не знаю, що сказати.",I just don't know what to say.,I just don't know what to say.,0.9999999403953552
22,"Я не знаю, що і сказати.",I just don't know what to say.,I don't know what to say.,0.9737254977226257
23,"Я навіть не знаю, що сказати...",I just don't know what to say.,I don't even know what to say...,0.9576016664505005
24,То був злий крілик.,That was an evil bunny.,That was an evil rabbit.,0.9761921167373657
25,То був злий кролик.,That was an evil bunny.,That was an evil rabbit.,0.9761921167373657
26,Це був лихий кролик.,That was an evil bunny.,It was an evil rabbit.,0.9273182153701782
27,Я був у горах.,I was in the mountains.,I was in the mountains.,0.9999998807907104
28,Я була в горах.,I was in the mountains.,I was in the mountains.,0.9999998807907104
29,Це недавнє фото?,Is it a recent picture?,Is this a recent photo?,0.9650407433509827
30,"Я не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.9397203922271729
31,"Не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.9397203922271729
32,"Не знаю, чи матиму час.",I don't know if I have the time.,I don't know if I'll have time.,0.9397203922271729
33,"Я не знаю, чи буде у мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.9397203922271729
34,"Я не знаю, чи маю час.",I don't know if I have the time.,I don't know if I have time.,0.9758886694908142
35,Освіта у цьому світі мене розчаровує.,Education in this world disappoints me.,Education in this world disappoints me.,0.9999999403953552
36,Мене розчаровує освіта у цім світі.,Education in this world disappoints me.,I'm frustrated by education in this world.,0.813517689704895
37,"Ти у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.,0.9999999403953552
38,"Ви у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.,0.9999999403953552
39,Ти на моєму шляху.,You are in my way.,You're on my way.,0.8653578758239746
40,Ти мені заважаєш.,You are in my way.,You're in my way.,0.952073335647583
41,Ви мені заважаєте.,You are in my way.,You're in my way.,0.952073335647583
42,Це буде коштувати 30 євро.,This will cost €30.,It'll cost 30 euros.,0.8648733496665955
43,Це коштуватиме 30 євро.,This will cost €30.,This will cost 30 euros.,0.9145184755325317
44,Це коштуватиме 30 €.,This will cost €30.,That's going to cost 30 €.,0.8289251327514648
45,Я заробляю 100 євро на день.,I make €100 a day.,I make 100 euros a day.,0.9539997577667236
46,"Це через те, що ти не хочеш бути наодинці.",It's because you don't want to be alone.,It's because you don't want to be alone.,1.0000001192092896
47,"Це тому, що ти не хочеш бути самотнім.",It's because you don't want to be alone.,It's because you don't want to be alone.,1.0000001192092896
48,"Це тому, що ти не хочеш бути один.",It's because you don't want to be alone.,It's because you don't want to be alone.,1.0000001192092896
49,Цього не трапиться.,That won't happen.,That won't happen.,1.0000001192092896
50,Цього не станеться.,That won't happen.,It won't happen.,0.9690579771995544
51,Цього не буде.,That won't happen.,That's not going to happen.,0.8561283349990845
52,"Я зроблю все, що в моїх силах, щоб не заважати тобі навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to interfere with your study.,0.968029260635376
53,"Я зроблю все, що в моїх силах, щоб не заважати вам навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to disturb your study.,0.9881392121315002
54,"Я можу тільки здогадуватися, чи так це і для всіх інших.",I can only wonder if this is the same for everyone else.,I can only guess if it's the same for everyone else.,0.9467051029205322
55,Сумую без тебе.,I miss you.,I miss you.,1.0
56,Я сумую за тобою.,I miss you.,I miss you.,1.0
57,Мені тебе бракує.,I miss you.,I miss you.,1.0
58,"Я подзвоню їм завтра, коли повернусь.",I'll call them tomorrow when I come back.,I'll call them tomorrow when I get back.,0.983867883682251
59,Мені завжди більше подобалися загадкові персонажі.,I always liked mysterious characters more.,I've always liked mysterious characters more.,0.9569568037986755
60,Таємничі персонажі мені завжди більше подобалися.,I always liked mysterious characters more.,I've always liked secret characters better.,0.9273126721382141
61,Тобі краще поспати.,You should sleep.,You'd better sleep.,0.8820755481719971
62,Тобі треба поспати.,You should sleep.,You need to sleep.,0.9081946015357971
63,Я піду.,I'm going to go.,I'll go.,0.910338282585144
64,Я буду йти.,I'm going to go.,I'll go.,0.910338282585144
65,Я вже йду.,I'm going to go.,I'm on my way.,0.7929704785346985
66,Я збираюся йти.,I'm going to go.,I'm gonna go.,0.9382481575012207
67,Я сказав їм відправити мені ще один квиток.,I told them to send me another ticket.,I told them to send me another ticket.,1.0000001192092896
68,У тебе бракує терпцю на мене.,You're so impatient with me.,You don't have the patience for me.,0.8314881324768066
69,Ти такий нетерплячий зі мною.,You're so impatient with me.,You're so impatient with me.,1.0
70,Я не можу так жити.,I can't live that kind of life.,I can't live like this.,0.896732747554779
71,Колись я хотів бути астрофізиком.,I once wanted to be an astrophysicist.,I used to want to be an astrophysicist.,0.9675807952880859
72,Я ніколи не любив біології.,I never liked biology.,I never liked biology.,0.9999999403953552
73,Мені ніколи не подобалася біологія.,I never liked biology.,I never liked biology.,0.9999999403953552
74,Мені ніколи не подобалась біологія.,I never liked biology.,I never liked biology.,0.9999999403953552
75,"Остання людина, кому я розповів про свою ідею, вирішив, що я божевільний.",The last person I told my idea to thought I was nuts.,The last person I told my idea to decided I was crazy.,0.9773704409599304
76,"Остання особа, кому я розповіла про свою ідею, вирішила, що я божевільна.",The last person I told my idea to thought I was nuts.,The last person I told my idea to thought I was crazy.,0.9882451295852661
77,"На жаль, це правда.",It is unfortunately true.,"Unfortunately, it's true.",0.9121991395950317
78,"На жаль, це так.",It is unfortunately true.,"Unfortunately, it is.",0.8809974789619446
79,Вони занадто зайняті взаємною боротьбою щоб перейматися спільними ідеалами.,They are too busy fighting against each other to care for common ideals.,They're too busy fighting each other to be concerned about common ideals.,0.9312038421630859
80,Більшість людей вважає мене божевільним.,Most people think I'm crazy.,Most people think I'm crazy.,1.0000001192092896
81,Більшість людей вважає мене божевільною.,Most people think I'm crazy.,Most people think I'm crazy.,1.0000001192092896
82,"Ні, не я, а ти!",No I'm not; you are!,"No, not me, but you!",0.8166893124580383
83,Він б'є мене ногами!,He's kicking me!,He's kicking me!,1.0
84,Ти впевнена?,Are you sure?,Are you sure?,1.0
85,Ти впевнений?,Are you sure?,Are you sure?,1.0
86,Ви впевнені?,Are you sure?,Are you sure?,1.0
87,Ти певен?,Are you sure?,Are you sure?,1.0
88,Ти певна?,Are you sure?,Are you sure?,1.0
89,Тоді ми маємо проблему...,Then there is a problem...,Then we have a problem...,0.9181376099586487
90,"О, тут метелик!","Oh, there's a butterfly!","Oh, there's a butterfly!",1.0
91,"Дивись, метелик!","Oh, there's a butterfly!","Look, a butterfly!",0.8127705454826355
92,Поспішай!,Hurry up.,Hurry!,0.8394827246665955
93,Швидше!,Hurry up.,Hurry up!,0.9999996423721313
94,Хутчіш!,Hurry up.,Hurry up!,0.9999996423721313
95,Поквапся!,Hurry up.,Hurry up!,0.9999996423721313
96,Ворушіться!,Hurry up.,Let's move!,0.68364417552948
97,Хутко!,Hurry up.,Hurry!,0.8394827246665955
98,Швидко!,Hurry up.,Quickly!,0.7290024161338806
99,Хутко.,Hurry up.,Come on.,0.7825528979301453
100,Це і не дивно.,It doesn't surprise me.,That's not surprising.,0.7958407998085022
101,Це мене не дивує.,It doesn't surprise me.,That doesn't surprise me.,0.97446608543396
102,Чомусь я більш жвавий вночі.,For some reason I feel more alive at night.,Somehow I'm more alive at night.,0.8882505893707275
103,Це залежить від контексту.,It depends on the context.,That depends on the context.,0.969397783279419
104,Залижить від контексту.,It depends on the context.,It's coming from the context.,0.7941580414772034
105,"Це що, такий жарт?",Are you freaking kidding me?!,Is that a joke?,0.7612155675888062
106,Це в тебе такі жарти?!,Are you freaking kidding me?!,Are you kidding me?,0.9628733992576599
