Unnamed: 0,UK,EN,TRANSLATION,BLEURT_Score
0.0,Давайте щось спробуємо!,Let's try something.,Let's try something!,0.6385509371757507
1.0,Спробуймо щось!,Let's try something.,Let's try something!,0.6385509371757507
2.0,Маю піти спати.,I have to go to sleep.,I have to go to bed.,0.8328904509544373
3.0,Я маю йти спати.,I have to go to sleep.,I have to go to bed.,0.8328904509544373
4.0,Мені час йти спати.,I have to go to sleep.,I have to go to bed.,0.8328904509544373
5.0,"Сьогодні 18 червня, і це день народження Мюріел!",Today is June 18th and it is Muiriel's birthday!,"It's June 18th, and it's Muriel's birthday!",-0.10921728610992432
6.0,Мюріел зараз двадцять.,Muiriel is 20 now.,Muiriel is twenty now.,0.6712462902069092
7.0,Мюріел зараз двадцять років.,Muiriel is 20 now.,Muiriel is 20 years old now.,0.9309298396110535
8.0,Мурієль зараз 20.,Muiriel is 20 now.,Muiriel is 20.,0.5761805176734924
9.0,"Пароль - ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel.""",0.8213810324668884
10.0,Пароль — «Muiriel».,"The password is ""Muiriel"".",The password is ʽMuiriel-i-i-i-i-i-i-i-i-i-i-i-i-i-i.,-1.0781199932098389
11.0,Пароль — «Мюріель».,"The password is ""Muiriel"".",The password is ʽMuriel.......,-1.1952791213989258
12.0,Я скоро повернуся.,I will be back soon.,I'll be back soon.,1.0849299430847168
13.0,Незабаром повернуся.,I will be back soon.,I'll be back soon.,1.0849299430847168
14.0,Я хутко повернусь.,I will be back soon.,I'll be right back.,0.3218686878681183
15.0,Скоро повернуся.,I will be back soon.,I'll be right back.,0.3218686878681183
16.0,"Я не знаю, що і сказати.",I'm at a loss for words.,I don't know what to say.,0.702443540096283
17.0,Мені бракує слів.,I'm at a loss for words.,I don't know what to say.,0.702443540096283
18.0,"Я навіть не знаю, що сказати...",I'm at a loss for words.,I don't even know what to say...,0.30565959215164185
19.0,Не можу знайти слів.,I'm at a loss for words.,I can't find words.,0.715645968914032
20.0,Це ніколи не скінчиться.,This is never going to end.,It'll never end.,0.7960244417190552
21.0,"Я просто і не знаю, що сказати.",I just don't know what to say.,I just don't know what to say.,0.9730588793754578
22.0,"Я не знаю, що і сказати.",I just don't know what to say.,I don't know what to say.,0.8641811609268188
23.0,"Я навіть не знаю, що сказати...",I just don't know what to say.,I don't even know what to say...,0.39613470435142517
24.0,То був злий крілик.,That was an evil bunny.,That was an evil rabbit.,0.4301452934741974
25.0,То був злий кролик.,That was an evil bunny.,That was an evil rabbit.,0.4301452934741974
26.0,Це був лихий кролик.,That was an evil bunny.,It was an evil rabbit.,0.05440044030547142
27.0,Я був у горах.,I was in the mountains.,I was in the mountains.,1.026437759399414
28.0,Я була в горах.,I was in the mountains.,I was in the mountains.,1.026437759399414
29.0,Це недавнє фото?,Is it a recent picture?,Is this a recent photo?,0.848305881023407
30.0,"Я не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.8223277926445007
31.0,"Не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.8223277926445007
32.0,"Не знаю, чи матиму час.",I don't know if I have the time.,I don't know if I'll have time.,0.8223277926445007
33.0,"Я не знаю, чи буде у мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.8223277926445007
34.0,"Я не знаю, чи маю час.",I don't know if I have the time.,I don't know if I have time.,0.9141307473182678
35.0,Освіта у цьому світі мене розчаровує.,Education in this world disappoints me.,Education in this world disappoints me.,0.9973222613334656
36.0,Мене розчаровує освіта у цім світі.,Education in this world disappoints me.,I'm frustrated by education in this world.,0.14759352803230286
37.0,"Ти у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.,0.9723912477493286
38.0,"Ви у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.,0.9723912477493286
39.0,Ти на моєму шляху.,You are in my way.,You're on my way.,0.7960255742073059
40.0,Ти мені заважаєш.,You are in my way.,You're in my way.,0.9133732914924622
41.0,Ви мені заважаєте.,You are in my way.,You're in my way.,0.9133732914924622
42.0,Це буде коштувати 30 євро.,This will cost €30.,It'll cost 30 euros.,0.717408299446106
43.0,Це коштуватиме 30 євро.,This will cost €30.,This will cost 30 euros.,0.7320260405540466
44.0,Це коштуватиме 30 €.,This will cost €30.,That's going to cost 30 €.,0.5452660918235779
45.0,Я заробляю 100 євро на день.,I make €100 a day.,I make 100 euros a day.,0.8361484408378601
46.0,"Це через те, що ти не хочеш бути наодинці.",It's because you don't want to be alone.,It's because you don't want to be alone.,0.9617184996604919
47.0,"Це тому, що ти не хочеш бути самотнім.",It's because you don't want to be alone.,It's because you don't want to be alone.,0.9617184996604919
48.0,"Це тому, що ти не хочеш бути один.",It's because you don't want to be alone.,It's because you don't want to be alone.,0.9617184996604919
49.0,Цього не трапиться.,That won't happen.,That won't happen.,0.9864708781242371
50.0,Цього не станеться.,That won't happen.,It won't happen.,0.7428460717201233
51.0,Цього не буде.,That won't happen.,That's not going to happen.,0.8453508615493774
52.0,"Я зроблю все, що в моїх силах, щоб не заважати тобі навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to interfere with your study.,0.6181890964508057
53.0,"Я зроблю все, що в моїх силах, щоб не заважати вам навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to disturb your study.,0.8929960131645203
54.0,"Я можу тільки здогадуватися, чи так це і для всіх інших.",I can only wonder if this is the same for everyone else.,I can only guess if it's the same for everyone else.,0.7710848450660706
55.0,Сумую без тебе.,I miss you.,I miss you.,1.049515962600708
56.0,Я сумую за тобою.,I miss you.,I miss you.,1.049515962600708
57.0,Мені тебе бракує.,I miss you.,I miss you.,1.049515962600708
58.0,"Я подзвоню їм завтра, коли повернусь.",I'll call them tomorrow when I come back.,I'll call them tomorrow when I get back.,0.8800190687179565
59.0,Мені завжди більше подобалися загадкові персонажі.,I always liked mysterious characters more.,I've always liked mysterious characters more.,0.9400737285614014
60.0,Таємничі персонажі мені завжди більше подобалися.,I always liked mysterious characters more.,I've always liked secret characters better.,0.6516968011856079
61.0,Тобі краще поспати.,You should sleep.,You'd better sleep.,0.8393077254295349
62.0,Тобі треба поспати.,You should sleep.,You need to sleep.,0.8372464776039124
63.0,Я піду.,I'm going to go.,I'll go.,0.8956087231636047
64.0,Я буду йти.,I'm going to go.,I'll go.,0.8956087231636047
65.0,Я вже йду.,I'm going to go.,I'm on my way.,0.6366174817085266
66.0,Я збираюся йти.,I'm going to go.,I'm gonna go.,0.9420352578163147
67.0,Я сказав їм відправити мені ще один квиток.,I told them to send me another ticket.,I told them to send me another ticket.,0.97158282995224
68.0,У тебе бракує терпцю на мене.,You're so impatient with me.,You don't have the patience for me.,0.06993256509304047
69.0,Ти такий нетерплячий зі мною.,You're so impatient with me.,You're so impatient with me.,0.9789888262748718
70.0,Я не можу так жити.,I can't live that kind of life.,I can't live like this.,0.5971859097480774
71.0,Колись я хотів бути астрофізиком.,I once wanted to be an astrophysicist.,I used to want to be an astrophysicist.,0.6038523316383362
72.0,Я ніколи не любив біології.,I never liked biology.,I never liked biology.,1.0238174200057983
73.0,Мені ніколи не подобалася біологія.,I never liked biology.,I never liked biology.,1.0238174200057983
74.0,Мені ніколи не подобалась біологія.,I never liked biology.,I never liked biology.,1.0238174200057983
75.0,"Остання людина, кому я розповів про свою ідею, вирішив, що я божевільний.",The last person I told my idea to thought I was nuts.,The last person I told my idea to decided I was crazy.,0.5988295078277588
76.0,"Остання особа, кому я розповіла про свою ідею, вирішила, що я божевільна.",The last person I told my idea to thought I was nuts.,The last person I told my idea to thought I was crazy.,0.8059042096138
77.0,"На жаль, це правда.",It is unfortunately true.,"Unfortunately, it's true.",0.7991190552711487
78.0,"На жаль, це так.",It is unfortunately true.,"Unfortunately, it is.",-0.21750912070274353
79.0,Вони занадто зайняті взаємною боротьбою щоб перейматися спільними ідеалами.,They are too busy fighting against each other to care for common ideals.,They're too busy fighting each other to be concerned about common ideals.,0.5696509480476379
80.0,Більшість людей вважає мене божевільним.,Most people think I'm crazy.,Most people think I'm crazy.,1.0022482872009277
81.0,Більшість людей вважає мене божевільною.,Most people think I'm crazy.,Most people think I'm crazy.,1.0022482872009277
82.0,"Ні, не я, а ти!",No I'm not; you are!,"No, not me, but you!",-0.3341534435749054
83.0,Він б'є мене ногами!,He's kicking me!,He's kicking me!,1.0602800846099854
84.0,Ти впевнена?,Are you sure?,Are you sure?,1.0021504163742065
85.0,Ти впевнений?,Are you sure?,Are you sure?,1.0021504163742065
86.0,Ви впевнені?,Are you sure?,Are you sure?,1.0021504163742065
87.0,Ти певен?,Are you sure?,Are you sure?,1.0021504163742065
88.0,Ти певна?,Are you sure?,Are you sure?,1.0021504163742065
89.0,Тоді ми маємо проблему...,Then there is a problem...,Then we have a problem...,0.5234922766685486
90.0,"О, тут метелик!","Oh, there's a butterfly!","Oh, there's a butterfly!",1.0067987442016602
91.0,"Дивись, метелик!","Oh, there's a butterfly!","Look, a butterfly!",-0.20111677050590515
92.0,Поспішай!,Hurry up.,Hurry!,0.3340136408805847
93.0,Швидше!,Hurry up.,Hurry up!,0.8153329491615295
94.0,Хутчіш!,Hurry up.,Hurry up!,0.8153329491615295
95.0,Поквапся!,Hurry up.,Hurry up!,0.8153329491615295
96.0,Ворушіться!,Hurry up.,Let's move!,-0.07360102236270905
97.0,Хутко!,Hurry up.,Hurry!,0.3340136408805847
98.0,Швидко!,Hurry up.,Quickly!,-0.15523147583007812
99.0,Хутко.,Hurry up.,Come on.,0.08476908504962921
100.0,Це і не дивно.,It doesn't surprise me.,That's not surprising.,0.3490241765975952
101.0,Це мене не дивує.,It doesn't surprise me.,That doesn't surprise me.,0.7904722094535828
102.0,Чомусь я більш жвавий вночі.,For some reason I feel more alive at night.,Somehow I'm more alive at night.,0.505429744720459
103.0,Це залежить від контексту.,It depends on the context.,That depends on the context.,0.7534953355789185
104.0,Залижить від контексту.,It depends on the context.,It's coming from the context.,0.08751069009304047
105.0,"Це що, такий жарт?",Are you freaking kidding me?!,Is that a joke?,-0.38252556324005127
106.0,Це в тебе такі жарти?!,Are you freaking kidding me?!,Are you kidding me?,0.48071587085723877
107.0,"Ти що, знущаєшся з мене?!",Are you freaking kidding me?!,Are you kidding me?!,0.7152126431465149
108.0,"Ти з мене знущаєшся, чи що?!",Are you freaking kidding me?!,Are you kidding me?,0.48071587085723877
109.0,"Це найбільша нісенітниця, яку я коли-небудь казав.",That's the stupidest thing I've ever said.,This is the biggest nonsense I've ever said.,0.3754897713661194
110.0,"Я не хочу бути жалюгідним, я хочу бути крутим!",I don't want to be lame; I want to be cool!!,"I don't want to be pathetic, I want to be cool!",0.4980349540710449
