Unnamed: 0,DE,EN,TRANSLATION,chrf_score
0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...",Your greed will still be your death.,19.686326021073576
1,Sagen Sie einfach stopp.,Just say when.,Just say stop.,50.89706589706589
2,- Warte.,- Wait.,- Wait.,100.0
3,Ich will nicht hier sein.,I don't wanna be here.,I don't want to be here.,66.20373108776309
4,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.","So, 90 percent of my photographic work is actually not photographic.",66.39997605873941
5,Wie bezaubernd.,So lovely.,How charming.,1.937984496124031
6,Muss ich?,Do I have to?,Do I have to?,100.0
7,Nehmen Sie Platz.,Please sit.,Sit down.,6.06920167637739
8,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","No, actually, I think you should find out what's going on with your dad.",70.86815401965363
9,Wie halten Sie sich?,How you holding up?,How are you holding up?,80.38203050348748
10,- Fangen wir an.,- Let's go.,- Let's get started.,61.57026459085082
11,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","I can really stand up, Mr. Hofrat?",20.191129497079384
12,- Was machst du damit?,- What will you do with it?,- What are you doing with it?,48.97541511131258
13,- Können wir reden?,- Can we talk?,- Can we talk?,100.0
14,Runter!,Get down!,Down!,26.70851729212656
15,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,What if it was just a disturbance because Pamela Raker is a Republican?,52.25304711862654
16,- Gern.,- Sure.,- Sure.,100.0
17,in Erwägung nachstehenden Grundes:,Whereas:,Whereas:,100.0
18,Wir haben ferngesehen.,We were watching the tv.,We watched TV.,27.511208360153333
19,Na schön.,Oh.,All right.,15.625
20,Lebt wohl.,Goodbye.,Goodbye.,100.0
21,Werte,Values,Values,100.0
22,Oder was meinst du?,What do you say Marylin?,Or what do you think?,36.18731730260094
23,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","One, two, one, two.",3.968253968253969
24,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","KOGENATE Bayer was used in clinical trials to treat bleeding in 37 previously untreated (PUPs) and 23 minimally previously treated haemophilia patients (MTPs, patients with 4 or less exposure days).",57.90705682225021
25,Tagungswoche,The Week,The Week,100.0
26,Deine Zeit wird kommen.,Your time will come.,Your time will come.,100.0
27,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,- What are you talking about?,19.38209737122781
28,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,"Where are you going, Stone?",24.021348567375103
29,Keine Bewegung.,-hold it! hold it! -Jesus.,Don't move.,3.9215686274509802
30,"Ja, natürlich.","Yes, sir. I'm very sorry.","Yes, of course.",11.375742331762636
31,Die Autoschlüssel.,Give me your car keys.,The car keys.,34.310499160578324
32,Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.,We could get out anywhere in the galaxy.,69.12201633377964
33,"Pumbaa, du bist 'n Schwein.","Pumbaa, you are a pig.","Pumbaa, you're a pig.",72.00112387612387
34,Übrigens:,Extra tip:,By the way:,5.555555555555555
35,Heiß!,Hot!,Hot!,100.0
36,Aber jetzt nicht mehr.,But not any more,But not anymore.,100.0
37,- Das stimmt.,- That's true.,- That's right.,52.70974465375552
38,"Pink für dich, Blau für Luke.","Pink for you, blue for Luke.","Pink for you, blue for Luke.",100.0
39,- Ganz ruhig bleiben.,That's right.,- Take it easy.,7.575757575757576
40,"Weißt du, wer Remy Danton ist?",Do you know who Remy Danton is?,Do you know who Remy Danton is?,100.0
41,Ich möchte jetzt gehen.,I want to go.,I want to go now.,91.1574824683062
42,- Sicher.,Sure.,- Sure.,91.3677130044843
43,Ich darf mich für eure Geduld bedanken.,Thank you for your patience.,I can thank you for your patience.,91.4974264193218
44,"Bob, Sie haben da was am Anzug.","Yeah. Bob, you got something on your suit.","Bob, there's something on your suit.",61.791185277859874
45,Sieht gut aus.,Looks good.,Looks good.,100.0
46,- Sid.,- Sid.,- Sid.,100.0
47,- Ein Bündnis mit wem?,- Klaus.,- An alliance with whom?,5.681818181818181
48,- Hast du das gesehen? - Was?,- Did you see that?,- Did you see that?,100.0
49,Mindestens 90 %; sekundäre Komponenten 4-6 % Geraniol und 1-2 % Nerol,At least 90 %; secondary components 4-6 % geraniol and 1-2 % nerol,At least 90 %; secondary components 4-6 % geraniol and 1-2 % nerol,100.0
50,Wir fahren.,We're leaving.,We're leaving.,100.0
51,Drücken!,Push! Push!,Push!,41.85983092446141
52,Geht schon.,You'll do.,I'm fine.,2.1367521367521367
53,Wissen Sie Bescheid über Manfredi und den Pakt?,Do you know about Manfredi and the covenant...?,Do you know about Manfredi and the pact?,77.92049280396
54,Länge des GGB,Length of SCI,Length of SCI,100.0
55,- Ja. Genau so.,Something like that.,That's it.,9.095257856246947
56,"Nein, das ist unmöglich.",It's just not possible.,"No, that's impossible.",41.23477395984071
57,"Sei willkommen, Bruder.","Welcome, brother.","Welcome, brother.",100.0
58,Wer sind diese Männer?,who are those men?,Who are these men?,61.37612387612387
59,Hört zu...,Listen!,Listen...,100.0
60,So. Ihr müsst den Rhythmus finden.,You guys got to get a rhythm going.,You have to find the rhythm.,24.878691035573926
61,Artikel 14 und möglichst,Article 14,"Article 14 and, where possible,",66.56154417432501
62,Durst!,Durst!,Thirst!,27.32044198895028
63,Weiter!,Okay.,Go on!,0.0
64,Erweitert,Toggle Present Windows (Current desktop),Advanced,2.1929824561403506
65,Legen Sie die Endzeit fest.@option:check,Set the end time,Set the end time.,100.0
66,"Oh, Sie armes Ding.","Oh, you poor thing.","Oh, you poor thing.",100.0
67,"Sie würden herausfinden wollen: ,Bin ich allein?""","You're attempting to find, ""Am I alone?""","You would want to find out: ""Am I alone?""",44.47328541252345
68,"Ich habe keinen Hunger, Dad.","God, Dad. I'm not hungry.","I'm not hungry, Dad.",69.26650641280047
69,"Schaden entsteht vor allem dann, wenn in der Türkei Hoffnungen auf einen Beitritt erweckt wurden, diese angesichts der politischen Lage aber nicht erfüllt werden können.",It will have done more harm if Turkey's expectations of accession have been raised and cannot be met because of the political situation.,"It is particularly damaging if Turkey hopes of accession have been raised, but this cannot be fulfilled in the light of the political situation.",55.15357988003176
70,Ich meine es ernst!,I'm serious.,I'm serious!,100.0
71,Du hast angefangen.,You are there begun.,You started it.,12.459613081382622
