Unnamed: 0,de,uk,TRANSLATION,BLEURT_Score,Normalized_BLEURT_Score,Percentage_BLEURT_Score,UK
0.0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 це просто число.,-0.105219766497612,0.497563743626171,49.7563743626171,
1.0,1 ist keine Primzahl.,Одиниця не є простим числом.,1 - це не просте число.,-0.09225742518901825,0.5036715201328684,50.36715201328684,
2.0,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,3 у кубі дорівнює 27.,-0.17633776366710663,0.4640533752464068,46.40533752464068,
3.0,"7 Dollar, bitte.","Сім доларів, будь ласка.","Сім доларів, будь ласка.",0.9487059116363525,0.994167122866314,99.41671228663141,
4.0,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Але фермер усміхнувся до нього.,0.9427725076675415,0.9913713389486801,99.13713389486801,
5.0,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Але люди не мають надії.,0.7539613842964172,0.9024046842313922,90.24046842313922,
6.0,Aber ich hatte keine Angst.,Але я не боявся.,Але я не боявся.,0.9332214593887329,0.986870943001463,98.6870943001463,
7.0,Aber sicher!,Звичайно!,"Звичайно, що так.",0.5762740969657898,0.8186795135033785,81.86795135033785,
8.0,Aber sicher!,Ну звичайно ж!,"Звичайно, що так.",0.45519036054611206,0.7616255922216622,76.16255922216621,
9.0,Aber warum?,Але чому?,Але чому?,0.9359861612319946,0.9881736537204827,98.81736537204827,
10.0,Ach nein! Wirklich?,Не може бути! Серйозно?,Справді?,-0.261652410030365,0.4238536319801776,42.385363198017764,
11.0,"Ach, nur das Übliche.","А, все як завжди.","Ну, це просто типова річ.",0.22425797581672668,0.652811654947026,65.28116549470259,
12.0,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Так, я мав щось на завтра.",0.026645898818969727,0.5596980443274396,55.96980443274396,
13.0,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Вісім хоббітів - це хобі.,0.0920017808675766,0.5904933390545056,59.04933390545056,
14.0,Affen sind intelligent.,Людиноподібні мавпи розумні.,Мавпи розумні.,0.11821199953556061,0.602843434921028,60.2843434921028,
15.0,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...",А як щодо корови?,-0.1442769318819046,0.479160244484066,47.9160244484066,
16.0,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Ну, як ви смієте корову?",0.08257986605167389,0.5860537900108062,58.605379001080614,
17.0,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,А — це перша літера алфавіту.,0.8292900919914246,0.9378991138399083,93.78991138399083,
18.0,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Ви приймаєте кредитні картки?,0.9480648040771484,0.9938650368777453,99.38650368777454,
19.0,Alice lächelte.,Аліса посміхнулася.,Аліса посміхнулася.,0.9581737518310547,0.9986283116696075,99.86283116696075,
20.0,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Всі на фотографії посміхаються.,0.9479955434799194,0.9938324017049378,99.38324017049378,
21.0,Alle Bälle sind gelb.,Усі м'ячі жовті.,Всі кульки жовті.,0.4748203158378601,0.7708751079460299,77.08751079460299,
22.0,Alle Bänke sind besetzt.,Всі лавки зайняті.,Всі лавки зайняті.,0.9534492492675781,0.9964021547527315,99.64021547527315,
