Unnamed: 0,de,uk,TRANSLATION,meteor_score
0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 це просто число.,0.20408163265306123
1,1 ist keine Primzahl.,Одиниця не є простим числом.,1 - це не просте число.,0.09803921568627452
2,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,3 у кубі дорівнює 27.,0.3177966101694915
3,"7 Dollar, bitte.","Сім доларів, будь ласка.","Сім доларів, будь ласка.",0.9921875
4,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Але фермер усміхнувся до нього.,0.45731707317073167
5,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Але люди не мають надії.,0.20000000000000004
6,Aber ich hatte keine Angst.,Але я не боявся.,Але я не боявся.,0.9921875
7,Aber sicher!,Звичайно!,"Звичайно, що так.",0.4166666666666667
8,Aber sicher!,Ну звичайно ж!,"Звичайно, що так.",0.16666666666666666
9,Aber warum?,Але чому?,Але чому?,0.9814814814814815
10,Ach nein! Wirklich?,Не може бути! Серйозно?,Справді?,0.10638297872340426
11,"Ach, nur das Übliche.","А, все як завжди.","Ну, це просто типова річ.",0.0
12,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Так, я мав щось на завтра.",0.2898550724637681
13,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Вісім хоббітів - це хобі.,0.10000000000000002
14,Affen sind intelligent.,Людиноподібні мавпи розумні.,Мавпи розумні.,0.6465517241379309
15,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...",А як щодо корови?,0.14705882352941174
16,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Ну, як ви смієте корову?",0.14492753623188406
17,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,А — це перша літера алфавіту.,0.5434782608695652
18,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Ви приймаєте кредитні картки?,0.996
19,Alice lächelte.,Аліса посміхнулася.,Аліса посміхнулася.,0.9375
20,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Всі на фотографії посміхаються.,0.6388888888888888
21,Alle Bälle sind gelb.,Усі м'ячі жовті.,Всі кульки жовті.,0.16666666666666666
22,Alle Bänke sind besetzt.,Всі лавки зайняті.,Всі лавки зайняті.,0.9814814814814815
23,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Усі листя дерева стали жовтими.,0.0847457627118644
24,Alle blieben.,Всі залишилися.,Усі залишилися.,0.25
25,Alle Frauen sind schön.,Всі жінки гарні.,Всі жінки прекрасні.,0.625
26,Alle haben geschlafen.,Усі спали.,Всі спали.,0.25
27,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,"Усі ми зацікавлені в історії, і в певному розумінні всі ми є істориками.",0.19417475728155342
28,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Усі вважають Том божевільним.,0.4406130268199233
29,Alle hassen mich.,Усі мене ненавидять.,Всі мене ненавидять.,0.625
30,Alle hassen Tom.,Всі ненавидять Тома.,Усі ненавидять Тома.,0.625
31,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,У всіх був гарний рік.,0.7500000000000001
32,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,У всіх був гарний рік.,0.37500000000000006
33,Alle hatten Hunger.,Усі хотіли їсти.,Усі голодували.,0.17241379310344826
34,Alle Hunde sind am Leben.,Всі собаки живі.,Усі собаки живі.,0.625
