Unnamed: 0,DE,EN,TRANSLATION,bertscore
0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es der Tod von dir sein wird, weil du...",0.8806325197219849
1,Sagen Sie einfach stopp.,Just say when.,"Sag einfach, wann.",0.8890674710273743
2,- Warte.,- Wait.,- Warte.,1.0
3,Ich will nicht hier sein.,I don't wanna be here.,Ich will nicht hier sein.,1.0000001192092896
4,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.","Okay, also 90 Prozent meines fotografischen Prozesses ist in der Tat nicht fotografisch.",0.9326642155647278
5,Wie bezaubernd.,So lovely.,So schön.,0.7246631979942322
6,Muss ich?,Do I have to?,Muss ich das?,0.9395549893379211
7,Nehmen Sie Platz.,Please sit.,Bitte setzen Sie sich.,0.8518785238265991
8,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich gesagt, solltest du herausfinden, was mit deinem Dad los ist.",0.9778628945350647
9,Wie halten Sie sich?,How you holding up?,Wie geht's dir?,0.8842343688011169
10,- Fangen wir an.,- Let's go.,- Gehen wir.,0.9108369946479797
11,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Ich darf wirklich aufstehen, Doktor?",0.9574846029281616
12,- Was machst du damit?,- What will you do with it?,- Was willst du damit machen?,0.9433648586273193
13,- Können wir reden?,- Can we talk?,- Können wir reden?,0.9999998211860657
14,Runter!,Get down!,Runter!,1.0000001192092896
15,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung war nur, weil Pamela Raker eine Republikanerin war?",0.9774481058120728
16,- Gern.,- Sure.,- Sicher.,0.85822993516922
17,in Erwägung nachstehenden Grundes:,Whereas:,in Erwägung nachstehender Gründe:,0.9839073419570923
