Unnamed: 0,DE,EN,TRANSLATION,BLEU_Score,avg
0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es der Tod von dir sein wird, weil du...",1.2627076138080564e-231,0.17955892228953338
1,Sagen Sie einfach stopp.,Just say when.,"Sag einfach, wann.",9.918892480173173e-232,0.17955892228953338
2,- Warte.,- Wait.,- Warte.,1.491668146240062e-154,0.17955892228953338
3,Ich will nicht hier sein.,I don't wanna be here.,Ich will nicht hier sein.,1.0,0.17955892228953338
4,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.","Okay, also 90 Prozent meines fotografischen Prozesses ist in der Tat nicht fotografisch.",4.0622028886850106e-78,0.17955892228953338
5,Wie bezaubernd.,So lovely.,So schön.,0.0,0.17955892228953338
6,Muss ich?,Do I have to?,Muss ich das?,1.0547686614863434e-154,0.17955892228953338
7,Nehmen Sie Platz.,Please sit.,Bitte setzen Sie sich.,1.2882297539194154e-231,0.17955892228953338
8,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich gesagt, solltest du herausfinden, was mit deinem Dad los ist.",0.4595289664603054,0.17955892228953338
9,Wie halten Sie sich?,How you holding up?,Wie geht's dir?,1.4488496539373276e-231,0.17955892228953338
10,- Fangen wir an.,- Let's go.,- Gehen wir.,1.1795617510369435e-231,0.17955892228953338
11,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Ich darf wirklich aufstehen, Doktor?",0.4548019047027907,0.17955892228953338
12,- Was machst du damit?,- What will you do with it?,- Was willst du damit machen?,1.04198122363916e-154,0.17955892228953338
13,- Können wir reden?,- Can we talk?,- Können wir reden?,1.0,0.17955892228953338
14,Runter!,Get down!,Runter!,1.821831989445342e-231,0.17955892228953338
15,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung war nur, weil Pamela Raker eine Republikanerin war?",0.36090027066191027,0.17955892228953338
16,- Gern.,- Sure.,- Sicher.,1.5319719891192393e-231,0.17955892228953338
17,in Erwägung nachstehenden Grundes:,Whereas:,in Erwägung nachstehender Gründe:,9.283142785759642e-155,0.17955892228953338
18,Wir haben ferngesehen.,We were watching the tv.,Wir haben ferngesehen.,1.2213386697554703e-77,0.17955892228953338
19,Na schön.,Oh.,- Nein.,0.0,0.17955892228953338
20,Lebt wohl.,Goodbye.,Auf Wiedersehen.,0.0,0.17955892228953338
21,Werte,Values,Werte,1.821831989445342e-231,0.17955892228953338
22,Oder was meinst du?,What do you say Marylin?,Was sagst du zu Marylin?,1.5319719891192393e-231,0.17955892228953338
23,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","Langsam, langsam, schnell, schnell.",0.0,0.17955892228953338
