Unnamed: 0,DE,EN,TRANSLATION,BLEURT_Score,UK
0.0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es der Tod von dir sein wird, weil du...",-0.6649712920188904,
1.0,Sagen Sie einfach stopp.,Just say when.,"Sag einfach, wann.",-0.5704072117805481,
2.0,- Warte.,- Wait.,- Warte.,0.909096896648407,
3.0,Ich will nicht hier sein.,I don't wanna be here.,Ich will nicht hier sein.,0.9315845966339111,
4.0,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.","Okay, also 90 Prozent meines fotografischen Prozesses ist in der Tat nicht fotografisch.",0.06558607518672943,
5.0,Wie bezaubernd.,So lovely.,So schön.,-1.3512823581695557,
6.0,Muss ich?,Do I have to?,Muss ich das?,0.9109713435173035,
7.0,Nehmen Sie Platz.,Please sit.,Bitte setzen Sie sich.,-1.0894763469696045,
8.0,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich gesagt, solltest du herausfinden, was mit deinem Dad los ist.",0.3405643701553345,
9.0,Wie halten Sie sich?,How you holding up?,Wie geht's dir?,-0.8113691210746765,
10.0,- Fangen wir an.,- Let's go.,- Gehen wir.,-0.7065076231956482,
11.0,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Ich darf wirklich aufstehen, Doktor?",-0.023248568177223206,
12.0,- Was machst du damit?,- What will you do with it?,- Was willst du damit machen?,0.08971010148525238,
13.0,- Können wir reden?,- Can we talk?,- Können wir reden?,0.920654296875,
14.0,Runter!,Get down!,Runter!,0.9304825067520142,
15.0,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung war nur, weil Pamela Raker eine Republikanerin war?",0.3759872019290924,
16.0,- Gern.,- Sure.,- Sicher.,-1.1061164140701294,
17.0,in Erwägung nachstehenden Grundes:,Whereas:,in Erwägung nachstehender Gründe:,0.8073418140411377,
18.0,Wir haben ferngesehen.,We were watching the tv.,Wir haben ferngesehen.,0.9197287559509277,
19.0,Na schön.,Oh.,- Nein.,-1.056363582611084,
20.0,Lebt wohl.,Goodbye.,Auf Wiedersehen.,-1.148685336112976,
21.0,Werte,Values,Werte,0.9008018970489502,
22.0,Oder was meinst du?,What do you say Marylin?,Was sagst du zu Marylin?,-0.5090053081512451,
23.0,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","Langsam, langsam, schnell, schnell.",-1.1405730247497559,
24.0,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","In klinischen Studien wurde KOGENATE Bayer zur Behandlung von Blutungsepisoden bei 37 zuvor unbehandelten Patienten (PUPs) und 23 minimal behandelten pädiatrischen Patienten (MTPs, definiert als mit mindestens 4 Expositionstagen) angewendet.",0.3118442893028259,
25.0,Tagungswoche,The Week,Tagungswoche,0.9339764714241028,
26.0,Deine Zeit wird kommen.,Your time will come.,Deine Zeit wird kommen.,0.923144519329071,
27.0,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,"Was regiert das Leben, das du führst?",-0.9734827280044556,
28.0,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,Wo zum Teufel willst du hin?,-0.7231128811836243,
29.0,Keine Bewegung.,-hold it! hold it! -Jesus.,"- Halt, halt, halt, halt, halt, halt, halt, halt, halt, halt, halt, halt, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey!",-0.9287047386169434,
30.0,"Ja, natürlich.","Yes, sir. I'm very sorry.","Ja, Sir, es tut mir sehr leid.",-0.5653947591781616,
31.0,Die Autoschlüssel.,Give me your car keys.,Gib mir deine Autoschlüssel.,-0.07823078334331512,
32.0,Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.,Wir könnten überall in die Galaxie geworfen werden.,0.12299443781375885,
33.0,"Pumbaa, du bist 'n Schwein.","Pumbaa, you are a pig.","Pumbaa, du bist ein Schwein.",0.40896594524383545,
34.0,Übrigens:,Extra tip:,Zusätzlicher Tipp:,-1.1796019077301025,
