Unnamed: 0,EN,UK,TRANSLATION,BLEU_Score,avg
0,The children.,Діти.,Діти.,1.821831989445342e-231,0.1350462239206423
1,I still have some friends in high places.,В мене все ще є друзі в високих кругах.,У мене все ще є друзі на високих посадах.,0.4671379777282001,0.1350462239206423
2,Successfully moved to trash.,Успішно пересунуто до смітника. @ info: status,Успішно пересунуто до смітника.,0.36787944117144233,0.1350462239206423
3,The given name could not be resolved to a unique server. Make sure your network is setup without any name conflicts between names used by Windows and by UNIX name resolution.,"Не вдається зв' язати вказану назву з унікальним сервером. Перевірте, що в мережі немає конфліктів між назвами вузлів у Windows та UNIX.","Не вдалося визначити вказану назву для унікального сервера. Переконайтеся, що вашу мережу налаштовано без конфліктів назв, які використовуються у Windows і UNIX.",6.148951381947336e-155,0.1350462239206423
4,Data tool,Засоби роботи з даними,Інструмент даних,0.0,0.1350462239206423
5,Close the door.,Закрий двері.,Зачини двері.,1.5319719891192393e-231,0.1350462239206423
6,I'm just glad he's feeling better.,"Я рада, що йому стало краще.","Я просто рад, что ему лучше.",1.1640469867513693e-231,0.1350462239206423
7,Don't you touch her!,- Не чіпай її!,Не торкайся її!,1.1795617510369435e-231,0.1350462239206423
8,So?,І що?,І що?,1.2213386697554703e-77,0.1350462239206423
9,Subdued,З підпорядкуванням,"СубтитнаThe role of the transaction, in past tense",0.0,0.1350462239206423
10,Notes,Примітки,Нотатки,0.0,0.1350462239206423
11,"Look, he's my lawyer, same as yours.","Слухай, він мій адвокат, також як і твій.","Слушай, он мой адвокат, такой же, как и твой.",1.0518351895246305e-231,0.1350462239206423
12,"Forget about control, Nina. I want to see passion.","Забудь про контроль Ніно, я хочу побачити пристрасть","Забудь о контроле, Нина, я хочу увидеть страсть.",7.176381577237209e-155,0.1350462239206423
13,I pray you two see each other again soon.,"Я молюся, щоб ви двоє змогли незабаром побачитися.","Я молюся, що ви двоє скоро знову побачитеся.",9.170599044431425e-155,0.1350462239206423
14,Configure the number of calendar days you wish to be published and available to others,"Тут ви можете вказати кількість днів, дані про які буде оприлюднено.","Налаштуйте кількість днів календаря, які ви бажаєте опублікувати, доступною для інших@ info: whatsthis",5.541564466373977e-155,0.1350462239206423
15,The shader should run!,Програма малювання тіней повинна запуститися!,Слід запустити інструмент тінь!,0.0,0.1350462239206423
16,Any Video4Linux compatible device,Будь- які сумісні з Video4Linux пристрої,Будь- який сумісний з Video4Linux пристрій,8.38826642100846e-155,0.1350462239206423
17,How did you end up here?,"Зараз розповім, сер.",Як ти тут опинився?,0.0,0.1350462239206423
18,- What do you expect?,- А на що ви розраховуєте?,- Чого ти сподіваєшся?,9.711929667259895e-232,0.1350462239206423
19,Top Output Bin (Face Down),Верхній вивідний (лицем вниз),Верхня вихідна скринька (лицем вниз),0.41113361690051975,0.1350462239206423
20,"Well, you know, I...","Добре, знаєш, я...","Ну, знаешь, я...",1.384292958842266e-231,0.1350462239206423
21,You have to enter the name of the new identity into the New Identity edit field. This will be the name shown in the identity list.,Вам слід ввести назву нового профілю до поля Новий профіль. Введену назву буде показано у списку профілів.,Вам слід ввести назву нового профілю до поля Новий профіль. Це буде вказано у списку профілів.,0.6449131835432435,0.1350462239206423
22,No.,"- Ні, не треба.",Ні.,9.070367381327683e-233,0.1350462239206423
23,Sharp turns,Різкі повороти,Різкі повороти,1.491668146240062e-154,0.1350462239206423
24,I'll work something out.,Я щось вирішу.,Я щось придумаю.,1.133422688662942e-154,0.1350462239206423
25,"And how many years did it take to build-- my grandfather and Uncle were murdered here, weren't they?","І скільки років пішло на будівництво Тут вбили мого діда і дядька, правда?","І скільки років пішло на будівництво-- тут вбили мого дідуся й дядька, чи не так?",0.37709297891717664,0.1350462239206423
26,"I want you to steal the diamonds. - No, that's...","я хочу, щоб ви вкрали діаманти.","Я хочу, щоб ти вкрала діаманти.",6.206021746903507e-78,0.1350462239206423
27,She can speak not only English but also French.,"Вона може говорити не тільки англійською, але й французькою.","Вона говорить не лише англійською, але й французькою.",0.3376459109063278,0.1350462239206423
28,Oh I told him...,- Що ви йому сказали?,"О, я сказав йому...",7.813508425061864e-232,0.1350462239206423
29,Delete the current profile,Вилучити поточний профіль,Вилучити поточний профіль,1.2213386697554703e-77,0.1350462239206423
30,"It's an Earth-shaking discovery, and it's forcing us to radically reassess our place in the Universe and even our eventual fate.",Це відкриття всесвітнього масштабу і воно змушує нас радикально переоцінити наше місце у всесвіті і навіть нашу можливу долю.,"Це відкриття Землі, яке змушує нас радикально переосмислити своє місце у всесвіті і навіть нашу можливу долю.",0.47229389414007084,0.1350462239206423
31,- It's great.,- Це просто божевілля.,- Чудово.,5.635809992474887e-232,0.1350462239206423
32,"Whoa, excuse me.",вибачте мені.,Вибачте.,6.702145341854094e-232,0.1350462239206423
33,"Okay, you really gotta help me out here.","гаразд, ви дійсно маєте допомогти мені тут.","Ладно, ты действительно должен помочь мне здесь.",0.0,0.1350462239206423
34,Hit me.,Здай мені.,Вдар мене.,0.0,0.1350462239206423
35,We can shake hands with Russian guests and wish them a safe return home.,Ми можемо потиснути руки російським гостям і побажати їм безпечно повернутися додому.,Ми можемо потиснути руку російським гостям і побажати їм безпечно повернутися додому.,0.7348889200874658,0.1350462239206423
36,The SUMSQ() function calculates the sum of all the squares of values given as parameters. You can calculate the sum of a range SUMSQ(A1: B5) or a list of values like SUMSQ(12; 5; 12.5).,"Функція SUMSQ () підраховує суму квадратів значень, переданих у параметрах. Ви можете підрахувати суму діапазону, SUMSQ( A1: B5) або списку значень, SUMSQ( 12; 5; 12. 5).","Функція SUMSQ}) обчислює суму всіх квадратів значень, заданих як параметри. Ви можете обчислити суму діапазону SUMSQA1: B5 або списку значень на зразок SUMSQ12; 5; 12. 5).",0.24166948336018576,0.1350462239206423
37,1971?,У 1971-му році?,1971?,5.635809992474887e-232,0.1350462239206423
38,So is there anything I should know about?,є ще щось що я маю знати про це?,"Так есть что-нибудь, о чем я должен знать?",1.1193096620723278e-231,0.1350462239206423
39,"Oh, what the hell is this?",Якого біса?,Що це в біса таке?,1.384292958842266e-231,0.1350462239206423
40,It's the last thing he'll expect.,На таке він не сподіватиметься.,"Это последнее, на что он будет ожидать.",1.1200407237786664e-231,0.1350462239206423
41,-What's the matter?,- У чому справа?,- Що сталося?,1.1931009847695213e-231,0.1350462239206423
42,Konqueror is a combined web- and filebrowser.,Konqueror є комбінацією переглядача Тенет і програми для роботи з файлами.,Konqueror - це комбінований веб- і файловий навігатор.,8.853864984883467e-232,0.1350462239206423
43,Delete the selected task.,Вилучити вибране завдання.,Вилучити вибране завдання.,1.2213386697554703e-77,0.1350462239206423
44,- Mm-hmm.,- Угу.,- Угу.,1.491668146240062e-154,0.1350462239206423
45,My dental plan doesn't kick in for another six months.,Нехай усі його зуби будуть цілі.,Мій стоматолог не планує працювати ще шість місяців.,0.0,0.1350462239206423
46,Color Roles,Ролі кольорів,Ролі кольорів,1.491668146240062e-154,0.1350462239206423
47,Arwen's life is now tied to the fate of the Ring.,Життя Арвен тепер прив'язане до Персня.,Життя Арвена тепер пов'язане з долею Персня.,1.4740564900137075e-231,0.1350462239206423
48,"Yes, yes, yes. I gotta go now, ol' fever Sal.","Так, так, так, чоловіче, час.","Так, так, так, мені треба йти, ой лихоманка Сал.",4.034282314146679e-78,0.1350462239206423
49,"Mr. Fifield, let's get a grid of the structure.","Пане Файфілд, визначте структуру цієї споруди.","Мистер Файфілд, давайте найдем решетку здания.",1.1640469867513693e-231,0.1350462239206423
50,(CROWD MURMURING),РОПТАННЯ У НАТОВПІ,(Звучить натовп),0.0,0.1350462239206423
51,- Do not!,- Зовсім ні!,- Не треба!,1.384292958842266e-231,0.1350462239206423
52,"This will be your room, Mr. Bond.","Це ваша кімната, містере Бонд.","Це ваша кімната, містере Бонд.",1.0,0.1350462239206423
53,Play the original Quake III Arena,Грати у початкову версію Quake III Arena,Грати у початкову Quake III Arena,8.221833772233233e-78,0.1350462239206423
54,It's mad in here.,"Діти, тут можна з глузду з'їхати.",Тут це божевілля.,5.092529201164552e-232,0.1350462239206423
55,If we don't freeze to death first.,Якщо спершу не загинемо від холоду.,Якщо ми не замерзнемо до смерті спочатку.,1.331960397810445e-231,0.1350462239206423
56,Right.,Вірно.,Так.,0.0,0.1350462239206423
57,System Administration,Керування системою,Адміністрування системи,0.0,0.1350462239206423
58,I think we should talk about it.,"Тому я вважаю, нам є про що поговорити.","Думаю, нам стоит поговорить об этом.",8.34076112986429e-232,0.1350462239206423
59,Dust Devils,Пилові завихренняweather condition,Пилові дияволи,9.291879812217675e-232,0.1350462239206423
