Unnamed: 0,EN,UK,TRANSLATION,BLEURT_Score
0.0,The children.,Діти.,Діти.,0.9428054094314575
1.0,I still have some friends in high places.,В мене все ще є друзі в високих кругах.,У мене все ще є друзі на високих посадах.,0.8495832681655884
2.0,Successfully moved to trash.,Успішно пересунуто до смітника. @ info: status,Успішно пересунуто до смітника.,0.22807246446609497
3.0,The given name could not be resolved to a unique server. Make sure your network is setup without any name conflicts between names used by Windows and by UNIX name resolution.,"Не вдається зв' язати вказану назву з унікальним сервером. Перевірте, що в мережі немає конфліктів між назвами вузлів у Windows та UNIX.","Не вдалося визначити вказану назву для унікального сервера. Переконайтеся, що вашу мережу налаштовано без конфліктів назв, які використовуються у Windows і UNIX.",0.6081472635269165
4.0,Data tool,Засоби роботи з даними,Інструмент даних,0.20902226865291595
5.0,Close the door.,Закрий двері.,Зачини двері.,0.7765918970108032
6.0,I'm just glad he's feeling better.,"Я рада, що йому стало краще.","Я просто рад, что ему лучше.",0.5302844643592834
7.0,Don't you touch her!,- Не чіпай її!,Не торкайся її!,0.656734049320221
8.0,So?,І що?,І що?,0.9186444282531738
9.0,Subdued,З підпорядкуванням,"СубтитнаThe role of the transaction, in past tense",-0.32504427433013916
10.0,Notes,Примітки,Нотатки,0.36516639590263367
11.0,"Look, he's my lawyer, same as yours.","Слухай, він мій адвокат, також як і твій.","Слушай, он мой адвокат, такой же, как и твой.",0.48554402589797974
12.0,"Forget about control, Nina. I want to see passion.","Забудь про контроль Ніно, я хочу побачити пристрасть","Забудь о контроле, Нина, я хочу увидеть страсть.",0.6028105616569519
13.0,I pray you two see each other again soon.,"Я молюся, щоб ви двоє змогли незабаром побачитися.","Я молюся, що ви двоє скоро знову побачитеся.",0.5931867361068726
14.0,Configure the number of calendar days you wish to be published and available to others,"Тут ви можете вказати кількість днів, дані про які буде оприлюднено.","Налаштуйте кількість днів календаря, які ви бажаєте опублікувати, доступною для інших@ info: whatsthis",0.3813064396381378
15.0,The shader should run!,Програма малювання тіней повинна запуститися!,Слід запустити інструмент тінь!,0.1796075999736786
16.0,Any Video4Linux compatible device,Будь- які сумісні з Video4Linux пристрої,Будь- який сумісний з Video4Linux пристрій,0.9263728857040405
17.0,How did you end up here?,"Зараз розповім, сер.",Як ти тут опинився?,0.02861759066581726
18.0,- What do you expect?,- А на що ви розраховуєте?,- Чого ти сподіваєшся?,0.2912508547306061
19.0,Top Output Bin (Face Down),Верхній вивідний (лицем вниз),Верхня вихідна скринька (лицем вниз),0.7775291204452515
20.0,"Well, you know, I...","Добре, знаєш, я...","Ну, знаешь, я...",0.5225387811660767
