Unnamed: 0,UK,EN,TRANSLATION,meteor_score
0,Давайте щось спробуємо!,Let's try something.,Let's try something!,0.9921875
1,Спробуймо щось!,Let's try something.,Let's try something!,0.9921875
2,Маю піти спати.,I have to go to sleep.,I have to go to bed.,0.8300000000000002
3,Я маю йти спати.,I have to go to sleep.,I have to go to bed.,0.8300000000000002
4,Мені час йти спати.,I have to go to sleep.,I have to go to bed.,0.8300000000000002
5,"Сьогодні 18 червня, і це день народження Мюріел!",Today is June 18th and it is Muiriel's birthday!,"It's June 18th, and it's Muriel's birthday!",0.5888888888888889
6,Мюріел зараз двадцять.,Muiriel is 20 now.,Muiriel is twenty now.,0.6388888888888888
7,Мюріел зараз двадцять років.,Muiriel is 20 now.,Muiriel is 20 years old now.,0.8928571428571429
8,Мурієль зараз 20.,Muiriel is 20 now.,Muiriel is 20.,0.754985754985755
9,"Пароль - ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel.""",0.9976851851851852
10,Пароль — «Muiriel».,"The password is ""Muiriel"".",The password is ʽMuiriel-i-i-i-i-i-i-i-i-i-i-i-i-i-i.,0.5076628352490421
11,Пароль — «Мюріель».,"The password is ""Muiriel"".",The password is ʽMuriel.......,0.5076628352490421
12,Я скоро повернуся.,I will be back soon.,I'll be back soon.,0.7500000000000001
13,Незабаром повернуся.,I will be back soon.,I'll be back soon.,0.7500000000000001
14,Я хутко повернусь.,I will be back soon.,I'll be right back.,0.3
15,Скоро повернуся.,I will be back soon.,I'll be right back.,0.3
16,"Я не знаю, що і сказати.",I'm at a loss for words.,I don't know what to say.,0.07142857142857142
17,Мені бракує слів.,I'm at a loss for words.,I don't know what to say.,0.07142857142857142
18,"Я навіть не знаю, що сказати...",I'm at a loss for words.,I don't even know what to say...,0.07042253521126761
19,Не можу знайти слів.,I'm at a loss for words.,I can't find words.,0.14705882352941174
20,Це ніколи не скінчиться.,This is never going to end.,It'll never end.,0.17241379310344826
21,"Я просто і не знаю, що сказати.",I just don't know what to say.,I just don't know what to say.,0.9990234375
22,"Я не знаю, що і сказати.",I just don't know what to say.,I don't know what to say.,0.8757427021441488
23,"Я навіть не знаю, що сказати...",I just don't know what to say.,I don't even know what to say...,0.840561224489796
24,То був злий крілик.,That was an evil bunny.,That was an evil rabbit.,0.7937500000000002
25,То був злий кролик.,That was an evil bunny.,That was an evil rabbit.,0.7937500000000002
26,Це був лихий кролик.,That was an evil bunny.,It was an evil rabbit.,0.5888888888888889
27,Я був у горах.,I was in the mountains.,I was in the mountains.,0.996
28,Я була в горах.,I was in the mountains.,I was in the mountains.,0.996
29,Це недавнє фото?,Is it a recent picture?,Is this a recent photo?,0.5260416666666666
30,"Я не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.8654513888888888
31,"Не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.8654513888888888
32,"Не знаю, чи матиму час.",I don't know if I have the time.,I don't know if I'll have time.,0.8654513888888888
33,"Я не знаю, чи буде у мене час.",I don't know if I have the time.,I don't know if I'll have time.,0.8654513888888888
34,"Я не знаю, чи маю час.",I don't know if I have the time.,I don't know if I have time.,0.8918539325842695
35,Освіта у цьому світі мене розчаровує.,Education in this world disappoints me.,Education in this world disappoints me.,0.9976851851851852
36,Мене розчаровує освіта у цім світі.,Education in this world disappoints me.,I'm frustrated by education in this world.,0.6401209677419356
37,"Ти у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.,0.9990234375
38,"Ви у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.,0.9990234375
39,Ти на моєму шляху.,You are in my way.,You're on my way.,0.5111111111111111
40,Ти мені заважаєш.,You are in my way.,You're in my way.,0.7500000000000001
41,Ви мені заважаєте.,You are in my way.,You're in my way.,0.7500000000000001
42,Це буде коштувати 30 євро.,This will cost €30.,It'll cost 30 euros.,0.12195121951219512
43,Це коштуватиме 30 євро.,This will cost €30.,This will cost 30 euros.,0.7181571815718157
44,Це коштуватиме 30 €.,This will cost €30.,That's going to cost 30 €.,0.11627906976744187
45,Я заробляю 100 євро на день.,I make €100 a day.,I make 100 euros a day.,0.7352941176470589
46,"Це через те, що ти не хочеш бути наодинці.",It's because you don't want to be alone.,It's because you don't want to be alone.,0.9995
