Unnamed: 0,de,uk,TRANSLATION,bertscore
0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.,0.9999998807907104
1,1 ist keine Primzahl.,Одиниця не є простим числом.,Eine Einheit ist keine einfache Zahl.,0.8596540689468384
2,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,Drei hoch drei ist 21.,0.8413184881210327
3,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte.",1.000000238418579
4,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihm zu.,0.9778595566749573
5,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Menschen haben nicht genug Hoffnung.,0.9447548985481262
6,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.,1.0
7,Aber sicher!,Звичайно!,Natürlich!,0.6973226070404053
8,Aber sicher!,Ну звичайно ж!,Natürlich!,0.6973226070404053
9,Aber warum?,Але чому?,Warum?,0.9113627672195435
10,Ach nein! Wirklich?,Не може бути! Серйозно?,Wirklich?,0.9267903566360474
11,"Ach, nur das Übliche.","А, все як завжди.","Oh, das war's schon immer.",0.7836369872093201
12,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Und ja, morgen wollte ich etwas tun.",0.9142113924026489
13,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits sind ein GoByte.,0.9125452041625977
14,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affenmenschen sind schlau.,0.8504654169082642
15,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...","Oh, das ist es, wie die Kuh...",0.8267413377761841
16,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Oh, das ist es, wie die Kuh...",0.828648567199707
17,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.,0.9999999403953552
18,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Nehmen Sie Kreditkarten an?,0.929806113243103
19,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.,1.0
20,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Jeder lächelt auf dem Foto.,0.8740472197532654
21,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle sind gelb.,0.979623019695282
22,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Sitze sind voll.,0.8929126262664795
23,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Alle Blätter am Baum wurden gelb.,0.9220346808433533
24,Alle blieben.,Всі залишилися.,Alle blieben.,1.0
25,Alle Frauen sind schön.,Всі жінки гарні.,Alle Frauen sind wunderschön.,0.939981997013092
26,Alle haben geschlafen.,Усі спали.,Alle schliefen.,0.8718762993812561
27,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,"Wir alle interessieren uns für Geschichte, und in gewisser Weise sind wir alle Historiker.",0.9337599277496338
28,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Jeder hält Tom für verrückt.,0.9169168472290039
29,Alle hassen mich.,Усі мене ненавидять.,Alle hassen mich.,0.9999998807907104
30,Alle hassen Tom.,Всі ненавидять Тома.,Jeder hasst Tom.,0.8743797540664673
31,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,Jeder hatte ein gutes Jahr.,0.960751473903656
32,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,Sie alle hatten ein schönes Jahr.,0.9433580636978149
33,Alle hatten Hunger.,Усі хотіли їсти.,Alle wollten essen.,0.9117887616157532
34,Alle Hunde sind am Leben.,Всі собаки живі.,Alle Hunde sind am Leben.,1.0
35,Alle Hunde sind lebendig.,Всі собаки живі.,Alle Hunde sind am Leben.,0.9385562539100647
36,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Alle Hunde sind Tiere, aber das bedeutet nicht, daß alle Tiere Hunde sind.",0.9707633852958679
37,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Ihre Bemühungen waren vergeblich.,0.9433111548423767
38,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Jeder spielt gern Baseball.,0.9027954936027527
39,Alle Jungen tanzten.,Усі хлопці танцювали.,Alle Männer tanzten.,0.9519025087356567
40,Alle kannten das.,Усі це знали.,Das wusste jeder.,0.8115003705024719
41,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Alle Kinder bekamen ein Geschenk.,0.9546296000480652
42,Alle lächelten.,Всі посміхнулися.,Alle lächelten.,1.0
43,Alle lachten über ihn.,Всі сміялися з нього.,Alle lachten ihn aus.,0.9588629007339478
44,Alle lieben ihn.,Його всі люблять.,Jeder liebt ihn.,0.9337955713272095
45,Alle lieben mich.,Усі люблять мене.,Jeder liebt mich.,0.9293633103370667
46,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Alle meine Freunde lieben amerikanische Football.,0.9133504033088684
47,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Alle meine Freunde lieben Fußball.,0.9999999403953552
48,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Alle meine Freunde lieben Computerspiele.,0.9658960700035095
49,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Alle meine Freunde werden dort sein.,0.977645218372345
50,Alle Menschen müssen sterben.,Всі люди повинні померти.,Alle Menschen müssen sterben.,1.0000001192092896
51,Alle Menschen sind gleich.,Всі люди рівні.,Alle Menschen sind gleich.,1.0
52,Alle mögen große Pizzas.,Усі люблять великі піци.,Jeder mag große Pizza.,0.8891184329986572
53,Alle müssen es wissen.,Усі мають знати.,Jeder muss es wissen.,0.9305665493011475
54,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Jeder sollte Französisch lernen.,0.9173189997673035
55,Alle nennen ihn Mac.,Усі називають його Маком.,Jeder nennt ihn Mac.,0.927560567855835
56,Alle reden über Tom.,Усі говорять про Тома.,Jeder redet über Tom.,0.8929550051689148
57,Aller guten Dinge sind drei.,Бог любить трійцю.,Gott liebt Dreiheiten.,0.8500322699546814
58,Alle schlafen.,Всі сплять.,Alle schlafen.,1.0
59,Alle schlafen.,Усі сплять.,Alle schlafen.,1.0
60,Alles gut bei euch?,У всіх усе гаразд?,Geht es allen gut?,0.8903077244758606
61,Alles Gute zum Geburtstag!,З днем народження!,Alles Gute zum Geburtstag!,1.0000001192092896
62,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Alles hängt von deiner Entscheidung ab.,1.000000238418579
63,Alles hier gehört mir.,Тут все моє.,Das ist alles meins.,0.8558186888694763
64,Alle sind bereit.,Усі готові.,Alle sind bereit.,1.0
65,Alle sind geschockt.,Всі в шоці.,Alle sind schockiert.,0.8703700304031372
66,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Alle sind sehr beschäftigt.,1.0
67,Alles in Ordnung?,Все добре?,Alles in Ordnung?,1.0000001192092896
68,Alles ist gut.,Все в порядку.,Ist schon gut.,0.8802933692932129
69,Alles ist gut.,Все гаразд.,Ist schon gut.,0.8802933692932129
70,Alles ist gut.,Усе гаразд.,Schon gut.,0.780414879322052
71,Alles ist in Butter.,Все в шоколаді.,Es ist in der Schokolade.,0.8055480122566223
72,Alles ist möglich.,Можливо все.,Vielleicht ist das alles.,0.8350104689598083
73,Alles ist vorbei.,Все скінчилося.,Es ist vorbei.,0.937262237071991
74,Alles oder nichts.,Все чи нічого.,Alles oder nichts.,1.0
75,Alles war nur ein Scherz.,Усе було лише жартом.,Alles war nur ein Scherz.,1.0
76,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Alles, was du tun musst, ist auf den roten Knopf zu klicken.",0.9675061702728271
77,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Alles, was einen Anfang hat, hat auch das Ende.",0.9926241636276245
78,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Alles, was ich habe, ist ein Buch.",1.0
79,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Tom sagte nur, dass es wahr ist.",0.8072963356971741
80,Alles wird gut sein.,Все буде в порядку.,Alles wird gut.,0.9580329060554504
81,Alles wird gut werden.,Все буде в порядку.,Alles wird gut.,0.9548726081848145
82,Alles wird gut.,Все буде добре.,Alles wird gut.,0.9999999403953552
83,Alle überlebten.,Всі вижили.,Jeder überlebte.,0.932694673538208
84,Alle Vögel haben Federn.,Всі птахи мають пір'я.,Alle Vögel haben Federn.,1.0000001192092896
85,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Alle neidisch auf meinen Erfolg.,0.9676250219345093
86,Alle waren zufrieden.,Усі були задоволені.,Alle waren zufrieden.,1.0
87,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Alle Wege führen nach Rom.,1.0000001192092896
88,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Alle Wege führen nach Rom.,1.0000001192092896
89,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Almaty ist meine Lieblingsstadt!,1.0
90,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Als ich aufwachte, schnee ich.",0.9676356911659241
91,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.","Als Teenager sprach Tom gern über das, was er sagte.",0.8730602264404297
92,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.","Als Teenager liebte er es, Gedichte zu schreiben.",0.892711877822876
93,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?",Also genug für heute?,0.8568783402442932
94,Also sprach Zarathustra.,Так казав Заратустра.,Das hat Zachäus gesagt.,0.6837843656539917
95,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Alte Teppiche sind teurer als neue.,0.9531540274620056
96,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Alte Teppiche sind wertvoller als neue.,0.9999999403953552
97,Aluminium ist ein Metall.,Алюміній - метал.,Aluminium ist Metall.,0.8885799646377563
98,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,Dezember Weihnachten.,0.8279153108596802
99,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,Im Anfang erschuf Gott die Himmel und die Erde.,0.9403901696205139
100,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Amerikaner sind sehr freundliche Menschen.,0.9370018839836121
101,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,Am Tag der Hochzeit sind alle Brautjungfern schön.,0.9513120651245117
102,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Ich arbeite nie am Wochenende.,0.9642078876495361
103,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,Achtundvierzig Seeleute sind an Bord.,0.8438299298286438
104,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,Ich würde sofort nach Hause gehen.,0.9178757071495056
105,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,Das würde ich an deiner Stelle nicht tun.,0.9578806757926941
106,An der Wand hängt eine Karte.,На стіні висить географічна карта.,An der Wand hängt eine geographische Karte.,0.9447155594825745
107,An der Wand hängt eine Karte.,На стіні висить мапа.,An der Wand hängt eine Karte.,1.0
108,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Angelica Picles ist sehr egoistisch.,0.964654266834259
109,Angenehm!,Приємно познайомитися!,"Freut mich, Sie kennenzulernen.",0.7375971078872681
110,Anja lebt in Danzig.,Аня живе у Гданьску.,Ana lebt in Gännsk.,0.8551591634750366
111,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,"Ankara, die Hauptstadt der Türkei",0.9693430066108704
112,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,Auf meinem Umhang hat sich ein Gummiseil abgerissen.,0.8735458254814148
113,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Henry, Georges Sand, Stund, Molyer, Volter... sie haben nicht einen richtigen Namen, sondern Spitznamen.",0.8217670321464539
114,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Anna mag Schokolade sehr.,0.9770330190658569
115,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Statt zur Schule zu gehen, blieb er zu Hause.",0.9433451294898987
116,Antworte mir.,Дай мені відповідь.,Gib mir eine Antwort.,0.8185378909111023
117,Antworten Sie auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,1.0000001192092896
