Unnamed: 0,de,uk,TRANSLATION,BLEURT_Score,UK
0.0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.,0.9258537292480469,
1.0,1 ist keine Primzahl.,Одиниця не є простим числом.,Eine Einheit ist keine einfache Zahl.,-0.711509108543396,
2.0,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,Drei hoch drei ist 21.,-0.7531582117080688,
3.0,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte.",0.91667640209198,
4.0,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihm zu.,0.5058860182762146,
5.0,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Menschen haben nicht genug Hoffnung.,0.06800195574760437,
6.0,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.,0.9256570935249329,
7.0,Aber sicher!,Звичайно!,Natürlich!,-0.9423999786376953,
8.0,Aber sicher!,Ну звичайно ж!,Natürlich!,-0.9423999786376953,
9.0,Aber warum?,Але чому?,Warum?,-0.022311702370643616,
10.0,Ach nein! Wirklich?,Не може бути! Серйозно?,Wirklich?,-0.4091149568557739,
11.0,"Ach, nur das Übliche.","А, все як завжди.","Oh, das war's schon immer.",-0.9993268251419067,
12.0,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Und ja, morgen wollte ich etwas tun.",-0.6328761577606201,
13.0,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits sind ein GoByte.,-0.3328048586845398,
14.0,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affenmenschen sind schlau.,-0.7175453305244446,
15.0,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...","Oh, das ist es, wie die Kuh...",-0.7537354826927185,
16.0,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Oh, das ist es, wie die Kuh...",-0.8134499192237854,
17.0,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.,0.9146672487258911,
18.0,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Nehmen Sie Kreditkarten an?,0.1500198096036911,
19.0,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.,0.9191230535507202,
20.0,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Jeder lächelt auf dem Foto.,-0.3154231905937195,
21.0,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle sind gelb.,0.32355302572250366,
22.0,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Sitze sind voll.,-0.742419421672821,
23.0,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Alle Blätter am Baum wurden gelb.,-0.5734557509422302,
24.0,Alle blieben.,Всі залишилися.,Alle blieben.,0.8968936204910278,
25.0,Alle Frauen sind schön.,Всі жінки гарні.,Alle Frauen sind wunderschön.,-0.08121441304683685,
26.0,Alle haben geschlafen.,Усі спали.,Alle schliefen.,-0.7922021150588989,
27.0,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,"Wir alle interessieren uns für Geschichte, und in gewisser Weise sind wir alle Historiker.",0.023721233010292053,
28.0,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Jeder hält Tom für verrückt.,-0.09015907347202301,
29.0,Alle hassen mich.,Усі мене ненавидять.,Alle hassen mich.,0.934451699256897,
30.0,Alle hassen Tom.,Всі ненавидять Тома.,Jeder hasst Tom.,-0.4832148551940918,
31.0,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,Jeder hatte ein gutes Jahr.,0.1763656735420227,
32.0,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,Sie alle hatten ein schönes Jahr.,0.33819273114204407,
33.0,Alle hatten Hunger.,Усі хотіли їсти.,Alle wollten essen.,-1.0939396619796753,
34.0,Alle Hunde sind am Leben.,Всі собаки живі.,Alle Hunde sind am Leben.,0.9180246591567993,
35.0,Alle Hunde sind lebendig.,Всі собаки живі.,Alle Hunde sind am Leben.,0.42024028301239014,
36.0,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Alle Hunde sind Tiere, aber das bedeutet nicht, daß alle Tiere Hunde sind.",0.435824453830719,
37.0,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Ihre Bemühungen waren vergeblich.,0.25824135541915894,
38.0,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Jeder spielt gern Baseball.,-0.22994481027126312,
39.0,Alle Jungen tanzten.,Усі хлопці танцювали.,Alle Männer tanzten.,0.11628572642803192,
40.0,Alle kannten das.,Усі це знали.,Das wusste jeder.,-1.0757594108581543,
41.0,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Alle Kinder bekamen ein Geschenk.,0.5040377378463745,
42.0,Alle lächelten.,Всі посміхнулися.,Alle lächelten.,0.9225782155990601,
43.0,Alle lachten über ihn.,Всі сміялися з нього.,Alle lachten ihn aus.,0.270957887172699,
44.0,Alle lieben ihn.,Його всі люблять.,Jeder liebt ihn.,-0.17467860877513885,
45.0,Alle lieben mich.,Усі люблять мене.,Jeder liebt mich.,-0.32659798860549927,
46.0,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Alle meine Freunde lieben amerikanische Football.,0.3735410273075104,
47.0,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Alle meine Freunde lieben Fußball.,0.9061996340751648,
48.0,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Alle meine Freunde lieben Computerspiele.,0.490786075592041,
49.0,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Alle meine Freunde werden dort sein.,0.4981202483177185,
50.0,Alle Menschen müssen sterben.,Всі люди повинні померти.,Alle Menschen müssen sterben.,0.904649019241333,
51.0,Alle Menschen sind gleich.,Всі люди рівні.,Alle Menschen sind gleich.,0.9101104140281677,
