Unnamed: 0,de,uk,TRANSLATION,meteor_score
0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.,0.996
1,1 ist keine Primzahl.,Одиниця не є простим числом.,Eine Einheit ist keine einfache Zahl.,0.44642857142857145
2,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,Drei hoch drei ist 21.,0.20000000000000004
3,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte.",0.9814814814814815
4,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihm zu.,0.6614583333333333
5,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Menschen haben nicht genug Hoffnung.,0.5174180327868853
6,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.,0.996
7,Aber sicher!,Звичайно!,Natürlich!,0.0
8,Aber sicher!,Ну звичайно ж!,Natürlich!,0.0
9,Aber warum?,Але чому?,Warum?,0.6465517241379309
10,Ach nein! Wirklich?,Не може бути! Серйозно?,Wirklich?,0.4934210526315789
11,"Ach, nur das Übliche.","А, все як завжди.","Oh, das war's schon immer.",0.11904761904761905
12,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Und ja, morgen wollte ich etwas tun.",0.39952531645569617
13,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits sind ein GoByte.,0.5111111111111111
14,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affenmenschen sind schlau.,0.16666666666666666
15,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...","Oh, das ist es, wie die Kuh...",0.07142857142857142
16,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Oh, das ist es, wie die Kuh...",0.06329113924050632
17,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.,0.9985422740524781
18,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Nehmen Sie Kreditkarten an?,0.6233062330623306
19,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.,0.9375
20,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Jeder lächelt auf dem Foto.,0.10000000000000002
21,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle sind gelb.,0.6552706552706553
22,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Sitze sind voll.,0.25
