Unnamed: 0,DE,EN,TRANSLATION,BLEURT_Score,UK
0.0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...",Your greed will still be your death.,-1.0157898664474487,
1.0,Sagen Sie einfach stopp.,Just say when.,Just tell them to stop.,-0.3612784743309021,
2.0,- Warte.,- Wait.,- Wait.,0.8953431248664856,
3.0,Ich will nicht hier sein.,I don't wanna be here.,I don't want to be here.,0.46330851316452026,
4.0,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.",90% of my photographic work is not actually photographic at all.,0.39564526081085205,
5.0,Wie bezaubernd.,So lovely.,How enchanting.,-0.900299072265625,
6.0,Muss ich?,Do I have to?,Should I?,-0.7217353582382202,
7.0,Nehmen Sie Platz.,Please sit.,Take a seat.,-1.0062106847763062,
8.0,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","No, honestly, I think you should find out what's going on with your dad.",0.7448146343231201,
9.0,Wie halten Sie sich?,How you holding up?,How do you feel?,-0.6260356903076172,
10.0,- Fangen wir an.,- Let's go.,- Let's get started.,0.5966026186943054,
11.0,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Can I really stand up, Mr. Cohen?",-0.6210814714431763,
12.0,- Was machst du damit?,- What will you do with it?,- What do you do with it?,0.6679332256317139,
13.0,- Können wir reden?,- Can we talk?,- Can we talk?,0.9194382429122925,
14.0,Runter!,Get down!,Go down!,0.6198903918266296,
15.0,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,And if it was just a disruption because Pamela Raker is a Republican?,0.7270911931991577,
16.0,- Gern.,- Sure.,- Gladly.,-0.018832072615623474,
17.0,in Erwägung nachstehenden Grundes:,Whereas:,WHEREAS the following reason:,-0.16059492528438568,
18.0,Wir haben ferngesehen.,We were watching the tv.,We watched television.,0.4765270948410034,
19.0,Na schön.,Oh.,That is fine.,-1.0204353332519531,
20.0,Lebt wohl.,Goodbye.,Farewell to God.,0.04961800575256348,
21.0,Werte,Values,Values: values,0.33543074131011963,
22.0,Oder was meinst du?,What do you say Marylin?,Or what do you mean?,-0.8233932256698608,
23.0,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","One, two, one, two.",-1.0225660800933838,
24.0,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","KOGENATE Bayer has been used in clinical trials to treat bleeding in 37 previously untreated patients (PUPs) and 23 minimally treated patients with haemophilia (MTPs, patients with 4 or less exposure days).",0.3391150236129761,
25.0,Tagungswoche,The Week,Conference week,0.3730774521827698,
26.0,Deine Zeit wird kommen.,Your time will come.,Your time will come.,0.9122378826141357,
27.0,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,A big gesture. - What are you talking about?,-0.9437669515609741,
28.0,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,"Where are you going, Stone?",-1.0005598068237305,
29.0,Keine Bewegung.,-hold it! hold it! -Jesus.,No movement.,-1.446936845779419,
30.0,"Ja, natürlich.","Yes, sir. I'm very sorry.","Yes, of course.",-1.0834784507751465,
31.0,Die Autoschlüssel.,Give me your car keys.,The car keys.,-0.806418240070343,
32.0,Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.,We could come out anywhere in the galaxy.,0.5336608290672302,
