Unnamed: 0,DE,EN,TRANSLATION,bertscore
0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es der Tod von dir sein wird, weil du...",0.8806325197219849
1,Sagen Sie einfach stopp.,Just say when.,Sag einfach wann.,0.8890674710273743
2,- Warte.,- Wait.,- Warten Sie.,0.8657651543617249
3,Ich will nicht hier sein.,I don't wanna be here.,Ich will nicht hier sein.,1.0000001192092896
4,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.","Okay, also sind 90 Prozent meines fotografischen Prozesses tatsächlich nicht fotografisch.",0.9239620566368103
5,Wie bezaubernd.,So lovely.,So schön.,0.7246631979942322
6,Muss ich?,Do I have to?,Muss ich das tun?,0.9342352151870728
7,Nehmen Sie Platz.,Please sit.,Bitte sitzen.,0.7661473155021667
8,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich, ich denke, du solltest herausfinden, was mit deinem Vater los ist.",0.9539487957954407
9,Wie halten Sie sich?,How you holding up?,Wie hältst du dich?,0.9167229533195496
10,- Fangen wir an.,- Let's go.,- Lass uns gehen.,0.8655700087547302
11,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Ich bin wirklich erlaubt, aufzustehen, Doktor?",0.9213808178901672
12,- Was machst du damit?,- What will you do with it?,- Was wirst du damit machen?,0.9210500121116638
13,- Können wir reden?,- Can we talk?,- Können wir reden?,0.9999998211860657
14,Runter!,Get down!,Kommt runter!,0.8099921941757202
15,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung nur daran lag, dass Pamela Raker eine Republikanerin war?",0.9514994621276855
16,- Gern.,- Sure.,- Sicher.,0.85822993516922
17,in Erwägung nachstehenden Grundes:,Whereas:,In Erwägung dessen:,0.9101804494857788
