,UK,EN,TRANSLATION
0,Давайте щось спробуємо!,Let's try something.,Let's try something!
1,Спробуймо щось!,Let's try something.,Let's try something!
2,Маю піти спати.,I have to go to sleep.,I have to go to bed.
3,Я маю йти спати.,I have to go to sleep.,I have to go to bed.
4,Мені час йти спати.,I have to go to sleep.,I have to go to bed.
5,"Сьогодні 18 червня, і це день народження Мюріел!",Today is June 18th and it is Muiriel's birthday!,"It's June 18th, and it's Muriel's birthday!"
6,Мюріел зараз двадцять.,Muiriel is 20 now.,Muiriel is twenty now.
7,Мюріел зараз двадцять років.,Muiriel is 20 now.,Muiriel is 20 years old now.
8,Мурієль зараз 20.,Muiriel is 20 now.,Muiriel is 20.
9,"Пароль - ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel."""
10,Пароль — «Muiriel».,"The password is ""Muiriel"".",The password is ʽMuiriel-i-i-i-i-i-i-i-i-i-i-i-i-i-i.
11,Пароль — «Мюріель».,"The password is ""Muiriel"".",The password is ʽMuriel.......
12,Я скоро повернуся.,I will be back soon.,I'll be back soon.
13,Незабаром повернуся.,I will be back soon.,I'll be back soon.
14,Я хутко повернусь.,I will be back soon.,I'll be right back.
15,Скоро повернуся.,I will be back soon.,I'll be right back.
16,"Я не знаю, що і сказати.",I'm at a loss for words.,I don't know what to say.
17,Мені бракує слів.,I'm at a loss for words.,I don't know what to say.
18,"Я навіть не знаю, що сказати...",I'm at a loss for words.,I don't even know what to say...
19,Не можу знайти слів.,I'm at a loss for words.,I can't find words.
20,Це ніколи не скінчиться.,This is never going to end.,It'll never end.
21,"Я просто і не знаю, що сказати.",I just don't know what to say.,I just don't know what to say.
22,"Я не знаю, що і сказати.",I just don't know what to say.,I don't know what to say.
23,"Я навіть не знаю, що сказати...",I just don't know what to say.,I don't even know what to say...
24,То був злий крілик.,That was an evil bunny.,That was an evil rabbit.
25,То був злий кролик.,That was an evil bunny.,That was an evil rabbit.
26,Це був лихий кролик.,That was an evil bunny.,It was an evil rabbit.
27,Я був у горах.,I was in the mountains.,I was in the mountains.
28,Я була в горах.,I was in the mountains.,I was in the mountains.
29,Це недавнє фото?,Is it a recent picture?,Is this a recent photo?
30,"Я не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.
31,"Не знаю, чи буде в мене час.",I don't know if I have the time.,I don't know if I'll have time.
32,"Не знаю, чи матиму час.",I don't know if I have the time.,I don't know if I'll have time.
33,"Я не знаю, чи буде у мене час.",I don't know if I have the time.,I don't know if I'll have time.
34,"Я не знаю, чи маю час.",I don't know if I have the time.,I don't know if I have time.
35,Освіта у цьому світі мене розчаровує.,Education in this world disappoints me.,Education in this world disappoints me.
36,Мене розчаровує освіта у цім світі.,Education in this world disappoints me.,I'm frustrated by education in this world.
37,"Ти у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.
38,"Ви у кращій формі, ніж я.",You're in better shape than I am.,You're in better shape than I am.
39,Ти на моєму шляху.,You are in my way.,You're on my way.
40,Ти мені заважаєш.,You are in my way.,You're in my way.
41,Ви мені заважаєте.,You are in my way.,You're in my way.
42,Це буде коштувати 30 євро.,This will cost €30.,It'll cost 30 euros.
43,Це коштуватиме 30 євро.,This will cost €30.,This will cost 30 euros.
44,Це коштуватиме 30 €.,This will cost €30.,That's going to cost 30 €.
45,Я заробляю 100 євро на день.,I make €100 a day.,I make 100 euros a day.
46,"Це через те, що ти не хочеш бути наодинці.",It's because you don't want to be alone.,It's because you don't want to be alone.
47,"Це тому, що ти не хочеш бути самотнім.",It's because you don't want to be alone.,It's because you don't want to be alone.
48,"Це тому, що ти не хочеш бути один.",It's because you don't want to be alone.,It's because you don't want to be alone.
49,Цього не трапиться.,That won't happen.,That won't happen.
50,Цього не станеться.,That won't happen.,It won't happen.
51,Цього не буде.,That won't happen.,That's not going to happen.
52,"Я зроблю все, що в моїх силах, щоб не заважати тобі навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to interfere with your study.
53,"Я зроблю все, що в моїх силах, щоб не заважати вам навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to disturb your study.
54,"Я можу тільки здогадуватися, чи так це і для всіх інших.",I can only wonder if this is the same for everyone else.,I can only guess if it's the same for everyone else.
55,Сумую без тебе.,I miss you.,I miss you.
56,Я сумую за тобою.,I miss you.,I miss you.
57,Мені тебе бракує.,I miss you.,I miss you.
58,"Я подзвоню їм завтра, коли повернусь.",I'll call them tomorrow when I come back.,I'll call them tomorrow when I get back.
59,Мені завжди більше подобалися загадкові персонажі.,I always liked mysterious characters more.,I've always liked mysterious characters more.
60,Таємничі персонажі мені завжди більше подобалися.,I always liked mysterious characters more.,I've always liked secret characters better.
61,Тобі краще поспати.,You should sleep.,You'd better sleep.
62,Тобі треба поспати.,You should sleep.,You need to sleep.
63,Я піду.,I'm going to go.,I'll go.
64,Я буду йти.,I'm going to go.,I'll go.
65,Я вже йду.,I'm going to go.,I'm on my way.
66,Я збираюся йти.,I'm going to go.,I'm gonna go.
67,Я сказав їм відправити мені ще один квиток.,I told them to send me another ticket.,I told them to send me another ticket.
68,У тебе бракує терпцю на мене.,You're so impatient with me.,You don't have the patience for me.
69,Ти такий нетерплячий зі мною.,You're so impatient with me.,You're so impatient with me.
70,Я не можу так жити.,I can't live that kind of life.,I can't live like this.
71,Колись я хотів бути астрофізиком.,I once wanted to be an astrophysicist.,I used to want to be an astrophysicist.
72,Я ніколи не любив біології.,I never liked biology.,I never liked biology.
73,Мені ніколи не подобалася біологія.,I never liked biology.,I never liked biology.
74,Мені ніколи не подобалась біологія.,I never liked biology.,I never liked biology.
75,"Остання людина, кому я розповів про свою ідею, вирішив, що я божевільний.",The last person I told my idea to thought I was nuts.,The last person I told my idea to decided I was crazy.
76,"Остання особа, кому я розповіла про свою ідею, вирішила, що я божевільна.",The last person I told my idea to thought I was nuts.,The last person I told my idea to thought I was crazy.
77,"На жаль, це правда.",It is unfortunately true.,"Unfortunately, it's true."
78,"На жаль, це так.",It is unfortunately true.,"Unfortunately, it is."
79,Вони занадто зайняті взаємною боротьбою щоб перейматися спільними ідеалами.,They are too busy fighting against each other to care for common ideals.,They're too busy fighting each other to be concerned about common ideals.
80,Більшість людей вважає мене божевільним.,Most people think I'm crazy.,Most people think I'm crazy.
81,Більшість людей вважає мене божевільною.,Most people think I'm crazy.,Most people think I'm crazy.
82,"Ні, не я, а ти!",No I'm not; you are!,"No, not me, but you!"
83,Він б'є мене ногами!,He's kicking me!,He's kicking me!
84,Ти впевнена?,Are you sure?,Are you sure?
85,Ти впевнений?,Are you sure?,Are you sure?
86,Ви впевнені?,Are you sure?,Are you sure?
87,Ти певен?,Are you sure?,Are you sure?
88,Ти певна?,Are you sure?,Are you sure?
89,Тоді ми маємо проблему...,Then there is a problem...,Then we have a problem...
90,"О, тут метелик!","Oh, there's a butterfly!","Oh, there's a butterfly!"
91,"Дивись, метелик!","Oh, there's a butterfly!","Look, a butterfly!"
92,Поспішай!,Hurry up.,Hurry!
93,Швидше!,Hurry up.,Hurry up!
94,Хутчіш!,Hurry up.,Hurry up!
