,EN,UK,TRANSLATION
0,The children.,Діти.,Діти.
1,I still have some friends in high places.,В мене все ще є друзі в високих кругах.,У мене все ще є друзі на високих посадах.
2,Successfully moved to trash.,Успішно пересунуто до смітника. @ info: status,Успішно пересунуто до смітника.
3,The given name could not be resolved to a unique server. Make sure your network is setup without any name conflicts between names used by Windows and by UNIX name resolution.,"Не вдається зв' язати вказану назву з унікальним сервером. Перевірте, що в мережі немає конфліктів між назвами вузлів у Windows та UNIX.","Не вдалося визначити вказану назву для унікального сервера. Переконайтеся, що вашу мережу налаштовано без конфліктів назв, які використовуються у Windows і UNIX."
4,Data tool,Засоби роботи з даними,Інструмент даних
5,Close the door.,Закрий двері.,Зачини двері.
6,I'm just glad he's feeling better.,"Я рада, що йому стало краще.","Я просто рад, что ему лучше."
7,Don't you touch her!,- Не чіпай її!,Не торкайся її!
8,So?,І що?,І що?
9,Subdued,З підпорядкуванням,"СубтитнаThe role of the transaction, in past tense"
10,Notes,Примітки,Нотатки
11,"Look, he's my lawyer, same as yours.","Слухай, він мій адвокат, також як і твій.","Слушай, он мой адвокат, такой же, как и твой."
12,"Forget about control, Nina. I want to see passion.","Забудь про контроль Ніно, я хочу побачити пристрасть","Забудь о контроле, Нина, я хочу увидеть страсть."
13,I pray you two see each other again soon.,"Я молюся, щоб ви двоє змогли незабаром побачитися.","Я молюся, що ви двоє скоро знову побачитеся."
14,Configure the number of calendar days you wish to be published and available to others,"Тут ви можете вказати кількість днів, дані про які буде оприлюднено.","Налаштуйте кількість днів календаря, які ви бажаєте опублікувати, доступною для інших@ info: whatsthis"
15,The shader should run!,Програма малювання тіней повинна запуститися!,Слід запустити інструмент тінь!
16,Any Video4Linux compatible device,Будь- які сумісні з Video4Linux пристрої,Будь- який сумісний з Video4Linux пристрій
17,How did you end up here?,"Зараз розповім, сер.",Як ти тут опинився?
18,- What do you expect?,- А на що ви розраховуєте?,- Чого ти сподіваєшся?
19,Top Output Bin (Face Down),Верхній вивідний (лицем вниз),Верхня вихідна скринька (лицем вниз)
20,"Well, you know, I...","Добре, знаєш, я...","Ну, знаешь, я..."
21,You have to enter the name of the new identity into the New Identity edit field. This will be the name shown in the identity list.,Вам слід ввести назву нового профілю до поля Новий профіль. Введену назву буде показано у списку профілів.,Вам слід ввести назву нового профілю до поля Новий профіль. Це буде вказано у списку профілів.
22,No.,"- Ні, не треба.",Ні.
23,Sharp turns,Різкі повороти,Різкі повороти
24,I'll work something out.,Я щось вирішу.,Я щось придумаю.
25,"And how many years did it take to build-- my grandfather and Uncle were murdered here, weren't they?","І скільки років пішло на будівництво Тут вбили мого діда і дядька, правда?","І скільки років пішло на будівництво-- тут вбили мого дідуся й дядька, чи не так?"
26,"I want you to steal the diamonds. - No, that's...","я хочу, щоб ви вкрали діаманти.","Я хочу, щоб ти вкрала діаманти."
27,She can speak not only English but also French.,"Вона може говорити не тільки англійською, але й французькою.","Вона говорить не лише англійською, але й французькою."
28,Oh I told him...,- Що ви йому сказали?,"О, я сказав йому..."
29,Delete the current profile,Вилучити поточний профіль,Вилучити поточний профіль
30,"It's an Earth-shaking discovery, and it's forcing us to radically reassess our place in the Universe and even our eventual fate.",Це відкриття всесвітнього масштабу і воно змушує нас радикально переоцінити наше місце у всесвіті і навіть нашу можливу долю.,"Це відкриття Землі, яке змушує нас радикально переосмислити своє місце у всесвіті і навіть нашу можливу долю."
31,- It's great.,- Це просто божевілля.,- Чудово.
32,"Whoa, excuse me.",вибачте мені.,Вибачте.
33,"Okay, you really gotta help me out here.","гаразд, ви дійсно маєте допомогти мені тут.","Ладно, ты действительно должен помочь мне здесь."
34,Hit me.,Здай мені.,Вдар мене.
35,We can shake hands with Russian guests and wish them a safe return home.,Ми можемо потиснути руки російським гостям і побажати їм безпечно повернутися додому.,Ми можемо потиснути руку російським гостям і побажати їм безпечно повернутися додому.
36,The SUMSQ() function calculates the sum of all the squares of values given as parameters. You can calculate the sum of a range SUMSQ(A1: B5) or a list of values like SUMSQ(12; 5; 12.5).,"Функція SUMSQ () підраховує суму квадратів значень, переданих у параметрах. Ви можете підрахувати суму діапазону, SUMSQ( A1: B5) або списку значень, SUMSQ( 12; 5; 12. 5).","Функція SUMSQ}) обчислює суму всіх квадратів значень, заданих як параметри. Ви можете обчислити суму діапазону SUMSQA1: B5 або списку значень на зразок SUMSQ12; 5; 12. 5)."
37,1971?,У 1971-му році?,1971?
38,So is there anything I should know about?,є ще щось що я маю знати про це?,"Так есть что-нибудь, о чем я должен знать?"
39,"Oh, what the hell is this?",Якого біса?,Що це в біса таке?
40,It's the last thing he'll expect.,На таке він не сподіватиметься.,"Это последнее, на что он будет ожидать."
41,-What's the matter?,- У чому справа?,- Що сталося?
