,de,uk,TRANSLATION
0,12 ist eine gerade Zahl.,Дванадцять - це парне число.,12 ist eine gerade Zahl.
1,1 ist keine Primzahl.,Одиниця не є простим числом.,Eine Einheit ist keine einfache Zahl.
2,3 hoch 3 ist 27.,Три в кубі дорівнює двадцять сім.,Drei hoch drei ist 21.
3,"7 Dollar, bitte.","Сім доларів, будь ласка.","7 Dollar, bitte."
4,Aber der Bauer lächelte ihn an.,Але фермер йому посміхнувся.,Aber der Bauer lächelte ihm zu.
5,Aber die Leute haben wenig Hoffnung.,Але в людей замало надії.,Aber die Menschen haben nicht genug Hoffnung.
6,Aber ich hatte keine Angst.,Але я не боявся.,Aber ich hatte keine Angst.
7,Aber sicher!,Звичайно!,Natürlich!
8,Aber sicher!,Ну звичайно ж!,Natürlich!
9,Aber warum?,Але чому?,Warum?
10,Ach nein! Wirklich?,Не може бути! Серйозно?,Wirklich?
11,"Ach, nur das Übliche.","А, все як завжди.","Oh, das war's schon immer."
12,"Ach richtig, ich hatte ja morgen etwas vor.","А так, завтра я збирався щось робити.","Und ja, morgen wollte ich etwas tun."
13,Acht Hobbits bilden ein Hobbyte.,Вісім гобітів складають один гобайт.,Acht Hobbits sind ein GoByte.
14,Affen sind intelligent.,Людиноподібні мавпи розумні.,Affenmenschen sind schlau.
15,Ah! Melkt man so eine Kuh?,"А, то он воно як доять корову...","Oh, das ist es, wie die Kuh..."
16,"Ah, so melkt man also eine Kuh?","А, то он воно як доять корову...","Oh, das ist es, wie die Kuh..."
17,A ist der erste Buchstabe des Alphabets.,«А» - перша літера алфавіту.,A ist der erste Buchstabe des Alphabets.
18,Akzeptieren Sie Kreditkarten?,Ви приймаєте кредитні картки?,Nehmen Sie Kreditkarten an?
19,Alice lächelte.,Аліса посміхнулася.,Alice lächelte.
20,Alle auf der Fotografie lächeln.,На фотографії всі усміхаються.,Jeder lächelt auf dem Foto.
21,Alle Bälle sind gelb.,Усі м'ячі жовті.,Alle sind gelb.
22,Alle Bänke sind besetzt.,Всі лавки зайняті.,Alle Sitze sind voll.
